serial,p1,p2,p3,p4,p5,r1,r2,r3,r4,r5
174,25.86,57.06,53.76,-77.24,-32.46,85.65,110.67,178.02,-162.51,-119.07
175,30.06,62.03,56.58,-69.57,-17.22,91.03,111.93,179.90,-149.04,-111.03
176,30.73,59.85,55.04,-68.33,-15.44,90.89,109.63,171.97,-155.96,-113.28
177,28.35,58.70,52.06,-72.38,-21.12,88.68,112.71,177.63,-153.43,-113.97
178,30.38,60.58,49.62,-71.34,-19.01,89.70,107.03,177.74,-154.86,-113.50
179,32.74,62.86,51.11,-66.17,-9.90,88.89,107.16,177.61,-153.88,-110.72
180,30.17,59.27,52.30,-68.23,-13.33,87.67,115.27,174.74,-160.14,-114.29
181,40.13,67.28,72.30,-54.91,6.84,87.70,75.25,158.29,-160.56,-114.27
182,38.99,70.12,71.33,-54.54,7.00,91.80,76.97,178.58,-154.57,-111.82
183,38.30,78.33,69.33,-55.39,2.78,98.83,97.07,-156.15,-141.32,-99.08
184,42.80,73.05,73.21,-53.11,7.72,91.08,76.95,-177.73,-155.61,-110.10
185,19.68,49.16,50.32,-74.45,-27.00,94.28,109.85,-177.56,-140.31,-107.99
186,22.52,45.34,41.38,-80.89,-44.06,81.07,109.21,166.85,158.95,-130.36
187,27.04,60.66,52.16,-71.37,-20.31,89.98,113.16,179.73,-147.39,-108.70
188,26.95,60.34,52.20,-70.68,-19.22,90.13,114.03,179.66,-146.36,-109.17
189,28.55,63.34,54.32,-68.88,-16.88,91.49,114.54,-176.99,-143.47,-107.73
190,28.06,60.38,55.48,-69.68,-19.99,93.14,122.46,-175.16,-142.33,-105.00
191,29.02,67.35,57.25,-71.43,-24.45,93.26,119.95,-170.39,-117.60,-93.45
192,29.28,65.24,52.53,-70.58,-24.52,97.26,125.42,-166.76,-111.87,-94.34
193,34.24,71.59,54.87,-70.78,-24.35,89.20,124.91,-162.75,-125.25,-101.07
194,29.22,67.17,52.64,-64.17,-18.40,102.95,138.32,-157.68,-106.59,-87.62
195,36.33,69.14,59.37,-64.98,-13.69,93.64,118.07,-167.54,-129.94,-98.66
196,37.12,69.29,58.80,-63.46,-12.91,94.77,119.02,-167.71,-132.11,-101.47
197,36.91,69.36,58.54,-64.53,-13.01,92.87,118.49,-169.69,-132.96,-99.83
198,37.40,69.53,56.84,-64.27,-12.30,93.40,122.47,-167.85,-131.25,-99.25
199,35.68,69.17,59.06,-62.18,-10.07,97.53,125.15,-165.35,-127.25,-96.15
200,36.28,70.22,58.03,-63.15,-12.40,97.17,128.02,-163.00,-126.84,-96.36
201,33.20,68.51,57.40,-66.67,-17.06,94.18,125.21,-167.23,-125.52,-95.97
202,50.49,79.36,73.35,-52.91,7.19,93.25,86.41,-163.64,-143.75,-99.87
203,42.16,68.31,59.06,-64.09,-8.93,87.65,109.04,-179.20,-147.73,-108.61
204,35.66,59.26,51.43,-73.76,-24.69,74.79,104.83,170.81,-169.63,-114.51
205,25.54,53.10,45.25,-70.50,-22.02,99.12,137.80,-169.05,-113.32,-95.82
206,31.65,58.38,47.50,-76.31,-29.06,79.44,122.88,-177.21,-148.69,-114.32
207,36.96,65.27,58.79,-72.63,-24.50,75.69,93.84,176.38,-161.14,-120.55
208,35.14,66.12,55.88,-71.54,-22.26,84.93,111.13,-177.16,-144.27,-112.78
209,32.74,66.50,56.89,-70.66,-20.39,90.66,118.74,-173.17,-132.62,-101.27
210,36.36,69.54,66.14,-62.99,-6.68,90.94,99.70,178.54,-142.13,-104.20
211,45.15,80.93,63.44,-58.78,-6.27,83.99,86.87,-150.21,-142.50,-111.68
212,52.48,72.42,82.12,-46.32,16.09,75.19,28.95,-154.42,-150.14,-105.71
213,50.23,73.34,77.24,-51.85,9.96,75.77,42.92,-171.65,-156.17,-113.00
214,45.95,75.13,71.99,-54.79,4.79,79.39,82.46,-169.96,-150.40,-108.81
215,36.89,67.95,65.67,-59.89,-2.24,94.36,114.04,-169.73,-140.01,-103.02
216,44.47,66.02,62.72,-65.26,-11.38,91.96,105.10,-179.48,-141.95,-102.47
217,55.16,67.86,60.51,-67.80,-14.58,122.29,118.59,-179.80,-146.01,-109.52
218,57.77,69.88,64.13,-61.39,-1.56,110.32,113.66,177.81,-156.26,-115.82
219,52.37,70.43,67.35,-53.60,13.65,94.68,101.31,170.09,-161.73,-116.64
220,48.31,63.90,70.44,-54.12,10.97,91.92,81.06,166.14,-158.76,-115.47
221,49.86,67.06,68.56,-54.96,9.26,90.42,88.32,176.09,-156.59,-114.99
222,50.00,66.24,66.27,-55.36,10.57,88.10,82.85,171.65,-158.57,-114.63
223,35.33,64.58,64.77,-57.09,6.37,83.35,101.23,171.73,-157.54,-113.00
224,46.09,69.52,67.51,-56.97,3.74,92.36,97.40,-176.38,-152.31,-113.90
225,46.45,67.11,67.61,-59.46,4.48,88.52,79.74,172.01,-154.53,-114.54
226,45.54,67.72,70.18,-59.51,3.63,89.71,82.83,174.92,-154.01,-114.16
227,45.55,67.36,68.82,-62.84,-2.95,83.16,78.30,-177.18,-158.14,-120.01
228,41.38,67.66,68.88,-61.08,1.10,91.16,90.74,-172.38,-146.47,-110.15
229,40.80,63.59,64.27,-64.94,-4.11,87.09,93.92,179.07,-152.31,-114.41
230,38.15,63.81,66.51,-67.56,-16.61,93.87,91.50,-173.56,-136.24,-100.95
