serial,p1,p2,p3,p4,p5,r1,r2,r3,r4,r5
369,34.47,-6.76,35.68,44.67,82.96,64.03,123.75,150.84,139.03,48.91
370,26.41,-18.73,29.43,39.75,85.65,76.13,128.41,159.95,152.65,-97.61
371,41.84,-5.60,43.31,54.04,78.96,76.40,137.32,165.06,160.32,-29.79
372,61.94,6.88,61.37,76.43,60.94,100.09,154.96,177.94,178.29,-11.24
373,62.83,8.26,58.54,77.02,58.71,98.58,157.00,-178.42,-168.15,-15.48
374,51.34,1.16,42.41,56.78,78.47,73.75,138.47,158.73,152.41,7.52
375,32.70,-15.88,15.43,28.20,76.11,81.38,130.65,164.80,165.82,-111.52
376,44.08,-3.88,44.19,64.03,62.76,90.99,134.22,163.62,163.49,-37.85
377,54.41,6.88,49.06,65.83,64.35,67.91,132.37,157.12,144.72,-18.03
378,46.20,8.19,40.01,62.24,65.77,117.29,131.41,159.23,152.87,-25.53
379,44.70,0.44,37.00,53.67,78.42,85.78,130.63,160.13,151.63,-16.57
380,36.27,-14.10,50.17,63.30,77.87,83.53,124.09,156.97,140.12,12.13
381,49.26,-8.74,55.53,66.62,72.29,100.85,135.11,157.96,138.86,12.15
382,22.77,-30.90,32.73,47.94,82.40,88.26,117.25,159.78,145.62,25.26
383,54.77,4.11,69.21,81.08,64.88,109.13,148.48,167.25,133.94,1.88
384,62.87,12.73,69.20,73.97,59.59,81.55,140.64,139.67,84.20,16.81
385,35.55,-9.80,35.88,45.96,78.13,78.80,125.41,150.23,134.52,54.04
386,40.44,-12.15,32.69,48.54,79.52,89.98,136.65,167.88,157.34,-21.84
387,48.68,-0.83,43.18,58.73,74.53,90.07,139.59,161.91,147.66,3.37
388,39.44,-9.72,30.84,43.55,85.98,82.92,131.18,158.58,151.74,69.88
389,51.67,0.88,49.00,64.69,67.79,83.26,137.27,156.39,125.20,19.30
390,37.08,-12.28,30.63,45.09,79.84,89.31,135.30,164.00,157.00,-45.00
391,41.61,-11.82,29.49,47.59,82.05,90.81,136.96,167.48,158.35,-41.79
392,37.48,-12.15,25.40,34.27,85.43,82.21,128.50,159.47,154.86,-173.92
393,59.02,6.06,51.90,64.18,68.52,82.26,141.15,161.78,142.86,-5.25
394,50.10,-0.70,48.58,62.06,72.24,81.82,136.14,158.11,138.77,-4.13
395,34.47,-19.20,29.29,44.06,72.31,92.72,139.63,171.96,168.37,-64.29
396,42.55,-9.54,39.11,56.89,66.33,97.49,145.05,172.05,165.46,-27.67
397,51.94,0.60,47.14,62.66,68.42,89.52,141.78,163.36,149.52,-13.79
398,45.14,-4.78,39.76,54.57,72.68,84.70,136.82,161.00,149.85,-17.55
399,49.71,-0.75,45.53,61.43,65.31,90.57,141.90,164.47,152.29,-17.99
400,43.23,-6.59,34.77,49.25,73.89,85.73,136.34,161.97,154.69,-31.44
401,43.07,-6.99,35.34,50.26,71.77,85.49,137.23,164.33,158.27,-32.08
402,29.26,-23.40,20.82,33.95,70.43,94.38,138.78,171.78,171.70,-69.94
403,26.45,-25.44,14.53,25.90,69.96,92.37,136.10,171.13,171.98,-85.17
404,32.26,-18.27,21.00,33.80,72.42,91.15,137.10,169.37,168.62,-63.46
405,36.10,-15.75,22.93,35.96,72.86,90.40,137.72,169.21,168.20,-60.32
406,37.04,-12.54,29.30,44.42,73.51,90.90,138.08,166.67,162.42,-46.25
407,35.98,-15.68,25.44,39.26,73.44,90.43,137.58,168.13,166.36,-55.25
