serial,p1,p2,p3,p4,p5,r1,r2,r3,r4,r5
378,-30.36,31.14,31.51,24.80,18.13,-16.43,30.61,76.44,63.86,53.18
379,-30.56,30.84,31.40,24.56,18.28,-16.19,30.40,76.18,63.64,53.09
380,-30.47,31.49,32.07,25.40,18.71,-16.98,30.04,76.13,63.73,53.00
381,-36.64,30.92,36.05,30.04,21.09,-24.35,19.61,66.42,56.49,46.82
382,-34.74,30.23,34.09,27.65,20.02,-21.66,23.24,69.81,58.99,49.05
383,-34.68,27.50,30.61,24.58,17.46,-18.03,25.25,69.74,58.71,49.84
384,-34.76,27.18,30.27,24.30,17.23,-17.71,25.23,69.58,58.41,49.74
385,-35.51,26.81,30.11,24.19,16.70,-17.50,24.59,68.82,57.94,49.23
386,-36.65,23.18,26.39,21.15,13.88,-13.35,25.13,67.23,56.39,49.00
387,-34.86,27.95,31.01,24.99,17.20,-18.70,24.66,69.09,58.34,49.28
388,-33.01,30.69,33.45,27.11,19.56,-21.06,24.98,71.54,60.65,50.52
389,-31.10,32.53,34.77,28.47,21.02,-22.30,26.29,73.86,62.57,51.45
390,-34.65,25.44,27.91,22.37,15.23,-15.21,26.26,69.70,58.73,49.96
391,-35.07,22.09,24.53,19.50,12.81,-11.16,27.42,69.02,57.70,49.93
392,-32.02,32.81,35.59,29.23,21.85,-23.38,24.74,73.08,61.81,50.52
393,-30.67,35.59,37.97,31.06,23.59,-26.29,24.65,74.71,63.46,51.09
394,-36.08,22.15,25.00,19.85,13.09,-12.00,26.17,67.81,56.71,49.13
395,-36.28,23.11,25.96,20.81,13.79,-13.40,25.64,67.49,56.73,49.04
396,-36.08,22.76,25.34,20.04,13.43,-12.88,25.77,67.64,56.45,48.86
397,-36.61,22.69,25.55,20.36,13.55,-12.85,25.62,67.45,56.38,49.06
398,-36.18,22.26,24.88,19.92,13.05,-12.36,25.73,67.45,56.45,49.22
399,-36.36,21.63,24.25,19.15,12.59,-11.57,26.09,67.00,56.22,49.06
400,-36.73,20.73,23.32,18.53,12.01,-10.61,25.86,66.71,55.78,48.79
401,-37.28,20.84,23.74,19.11,12.38,-10.89,25.63,66.35,55.47,48.53
402,-37.38,20.97,23.64,19.01,12.15,-11.39,25.03,66.24,55.16,48.30
403,-37.37,20.20,22.40,17.99,11.49,-10.39,25.34,66.04,54.90,48.20
404,-37.34,19.56,22.16,17.67,11.18,-9.80,25.47,65.90,54.84,48.27
405,-37.50,19.70,22.19,17.80,10.87,-10.00,25.36,65.62,54.82,48.09
406,-38.28,19.20,21.87,17.40,10.66,-9.58,24.72,64.60,53.95,47.50
407,-38.56,18.12,20.82,16.55,9.69,-8.71,24.94,64.33,53.50,47.38
408,-38.60,17.22,19.88,16.10,9.61,-6.84,25.28,64.22,53.45,47.72
409,-38.27,18.17,21.03,16.75,10.31,-8.14,25.20,64.72,53.93,47.72
410,-37.88,19.00,21.74,17.32,10.67,-9.01,25.34,65.34,54.56,48.07
411,-37.40,19.99,22.91,18.28,11.39,-9.94,25.59,65.82,54.91,48.16
412,-37.25,20.73,23.36,18.74,11.51,-10.63,25.40,65.71,54.92,48.08
413,-38.09,20.04,23.00,18.43,11.46,-10.76,24.53,64.96,54.38,47.65
414,-38.55,19.72,22.94,18.56,11.58,-10.37,24.19,64.06,53.62,47.05
415,-39.14,19.86,23.26,18.77,11.62,-11.39,23.07,63.62,53.14,46.62
416,-35.79,26.99,30.36,24.75,17.35,-18.55,23.46,67.77,57.25,48.37
417,-35.49,26.61,29.70,24.23,16.78,-17.83,24.21,68.52,57.82,49.12
418,-38.00,19.04,21.86,17.46,10.25,-9.30,25.48,65.46,54.75,47.96
419,-36.87,21.58,24.37,19.58,12.51,-11.75,25.43,66.89,56.00,48.59
420,-33.89,29.33,32.17,26.19,18.26,-20.84,24.31,70.16,59.33,49.57
421,-35.27,23.58,26.03,20.95,13.98,-13.92,26.28,68.74,57.70,49.60
422,-36.37,22.11,24.95,20.05,12.92,-12.39,25.55,67.07,56.45,48.72
423,-34.11,27.24,30.06,24.46,17.06,-18.43,25.06,69.78,58.83,49.70
424,-41.66,17.36,21.90,17.76,10.42,-8.26,22.64,62.55,51.89,45.79
425,-28.99,28.23,26.60,20.01,13.07,-18.24,30.76,74.51,61.69,52.77
426,-34.52,19.16,20.65,16.38,11.40,-7.60,30.29,70.88,59.62,52.07
427,-34.85,15.55,16.97,13.68,10.09,-2.63,31.26,70.18,59.24,52.85
428,-34.04,16.90,17.92,14.09,9.70,-4.09,31.18,70.65,59.47,52.42
429,-32.90,17.99,18.68,14.41,9.97,-4.77,32.14,72.30,61.05,53.68
430,-27.83,9.43,6.68,2.77,-0.12,7.72,41.99,77.02,64.52,58.83
431,-28.67,10.23,7.92,5.94,2.38,1.17,36.55,71.04,58.27,53.55
432,-38.95,19.69,21.41,15.93,11.26,-5.53,29.46,75.83,64.92,55.72
433,-27.44,25.31,22.45,16.57,12.29,-11.49,36.47,79.48,66.29,56.02
434,-32.45,26.21,27.99,22.05,15.54,-15.90,25.84,68.03,56.55,48.42
435,-64.83,11.01,24.38,22.37,12.15,-21.16,-0.38,34.72,29.92,30.13
436,-49.05,18.93,26.96,23.01,13.92,-17.10,13.33,52.76,44.67,40.56
437,-50.67,9.29,16.06,13.50,6.21,-4.34,14.21,50.04,40.88,38.08
438,-40.39,21.15,25.54,20.49,13.06,-12.60,21.80,62.73,52.57,45.86
439,-50.27,11.22,19.20,16.70,9.87,-3.96,15.44,51.96,43.50,40.35
440,-44.07,17.06,22.64,18.59,11.36,-9.21,19.56,58.68,49.16,43.97
441,-45.44,20.09,27.11,22.41,14.39,-15.57,16.00,56.49,47.81,42.53
442,-50.76,21.88,33.61,28.94,20.32,-21.20,11.13,53.47,47.28,41.76
443,-41.96,25.71,30.43,24.56,16.42,-18.30,18.33,60.41,51.47,45.04
444,-42.27,27.47,33.20,26.81,18.02,-21.38,16.28,59.58,50.46,43.43
445,-40.22,25.96,30.15,24.09,16.30,-17.43,19.91,62.45,52.64,45.72
446,-44.45,29.38,36.93,30.19,20.02,-27.64,10.79,54.80,46.84,40.56
447,-44.63,28.01,35.48,29.07,19.49,-24.18,13.05,56.71,48.44,41.68
448,-43.67,25.85,32.23,26.07,17.36,-21.03,14.95,57.36,48.52,42.51
449,-48.38,15.82,22.58,18.99,11.44,-8.58,15.22,52.56,44.32,40.63
450,-44.03,11.40,14.84,11.60,5.56,0.82,21.79,57.21,47.09,43.12
451,-45.16,20.66,26.04,20.95,13.10,-15.71,20.14,62.21,51.53,44.74
452,-36.79,23.67,25.47,20.43,14.21,-13.71,27.62,71.14,59.09,50.30
453,-36.20,29.25,31.72,25.31,17.38,-22.20,23.96,70.49,58.12,48.10
454,-39.29,28.84,33.68,27.51,19.28,-22.79,20.71,67.30,56.20,46.56
455,-36.88,21.35,25.42,20.44,13.73,-8.92,23.16,65.92,54.63,47.07
456,-36.76,20.38,23.81,18.86,11.88,-7.28,24.31,66.22,54.68,47.18
457,-35.59,20.88,24.55,19.88,12.96,-8.57,24.88,66.75,55.06,47.56
458,-35.41,24.30,26.83,21.17,13.89,-11.07,25.12,68.74,56.57,48.18
459,-36.03,23.46,26.99,21.39,14.06,-11.27,24.62,67.74,56.31,48.00
460,-36.52,23.35,27.58,22.10,14.56,-11.90,23.69,66.93,55.33,47.14
461,-36.67,23.46,27.42,22.06,14.31,-11.89,23.69,66.92,55.26,47.03
462,-35.61,24.96,28.61,22.77,15.11,-13.47,23.99,68.02,56.18,47.30
463,-30.18,28.48,30.36,24.26,17.25,-15.30,25.80,72.00,60.17,50.05
464,-29.93,30.08,31.72,25.41,18.25,-17.18,25.82,72.93,60.86,50.21
465,-30.83,28.42,30.30,24.07,17.02,-15.58,25.52,71.49,59.39,49.78
466,-34.64,21.38,25.13,20.26,13.28,-8.75,23.93,65.85,54.37,47.01
467,-33.77,21.64,24.47,19.36,12.55,-8.39,25.48,67.53,55.74,48.09
468,-34.67,18.69,21.35,16.49,9.46,-5.32,26.01,66.24,54.51,47.75
469,-33.03,20.52,22.53,17.53,11.14,-6.81,26.82,67.96,56.01,48.54
470,-34.16,20.65,23.00,18.38,11.56,-7.27,26.00,67.33,54.40,47.56
471,-32.04,23.07,24.85,19.77,13.44,-9.52,27.01,69.58,56.84,48.99
472,-30.73,28.32,30.38,24.72,17.87,-15.27,25.99,71.84,59.29,49.84
473,-32.30,27.59,29.89,24.23,17.20,-15.38,24.42,69.64,57.17,48.31
474,-33.30,25.44,28.07,22.65,15.74,-13.39,24.51,68.74,56.19,47.97
475,-33.22,24.87,27.38,22.15,15.43,-12.46,24.94,68.87,56.16,48.14
476,-34.28,24.12,27.28,22.00,14.84,-12.36,23.83,67.07,54.63,46.90
477,-37.88,22.06,26.86,22.10,14.52,-11.25,20.88,62.84,51.46,44.65
