p1,p2,p3,p4,p5,r1,r2,r3,r4,r5,label
6.88,32.58,53.77,44.38,-34.37,-99.83,-27.56,0.58,19.69,19.62,ঐ
2.1,34.69,51.31,38.57,-37.81,-99.84,-20.9,11.56,15.48,4.5,ঐ
3.12,35.66,53.26,39.81,-36.76,-99.68,-23.08,7.96,12.94,3.42,ঐ
9.01,29.63,45.56,36.23,-29.71,-92.13,-10.39,24.92,31.49,19.43,ঐ
7.31,29.05,45.25,37.03,-32.31,-92.89,-11.08,23.54,30.49,18.81,ঐ
4.87,20.8,40.32,28.17,-34.97,-92.63,-11.05,21.35,30.55,41.64,ঐ
3.6,22.42,42.58,34.34,-27.75,-93.09,-20.15,9.7,22.39,17.15,ঐ
-4.37,21.36,40.76,32.85,-29.72,-93.49,-15.09,15.41,25.35,24.07,ঐ
-13.44,13.54,30.97,24.44,-41.08,-93.73,-12.45,14.76,24.06,27.57,ঐ
-12.95,15.63,34.57,28.41,-34.39,-95.28,-12.86,15.63,24.79,26.72,ঐ
-11.54,25.71,36.61,28.21,-24.29,-74.21,7.2,43.56,46.18,43.37,ঐ
-10.77,26.3,37.58,28.84,-24.99,-74.67,5.71,42.91,45.36,42.53,ঐ
-11.37,23.54,37.8,29.58,-25.95,-80.5,-0.23,34.85,38.37,36.1,ঐ
-7.6,28.38,42.34,31.83,-24.66,-78.51,-2.53,35.08,39.56,35.04,ঐ
-13.01,23.36,35.75,26.61,-24.45,-76.64,2.96,38.63,41.66,39.75,ঐ
24.04,29.47,48.63,39.63,-13.84,-97.52,-19.83,10.69,22.35,16.41,ঐ
23.32,31.21,49.97,40.69,-12.74,-96.15,-17.42,15.04,25.77,19.0,ঐ
22.64,32.08,49.86,40.28,-12.63,-93.31,-15.06,18.88,28.53,20.62,ঐ
22.54,31.9,50.05,40.51,-12.45,-93.67,-14.69,19.81,28.93,21.06,ঐ
23.6,31.13,49.18,39.86,-12.82,-98.16,-16.64,15.75,25.74,19.57,ঐ
9.91,9.84,27.46,22.96,-25.18,-112.18,-22.27,-1.18,9.22,8.79,ঐ
10.93,8.83,27.46,23.14,-24.64,-116.48,-25.63,-4.87,7.21,7.38,ঐ
6.49,5.17,23.57,20.97,-27.01,-119.43,-29.3,-9.35,3.53,4.28,ঐ
0.68,-0.54,16.91,15.09,-29.79,-120.26,-23.47,-4.46,6.21,5.49,ঐ
-2.42,0.65,17.87,15.58,-29.79,-119.0,-20.1,-0.27,9.61,9.46,ঐ
-4.2,-1.15,15.83,14.04,-30.78,-118.12,-20.45,-1.14,8.79,7.59,ঐ
-6.53,-2.45,14.28,13.43,-31.57,-116.82,-17.63,1.86,10.99,8.86,ঐ
-21.24,-1.77,8.48,7.44,-31.65,-94.68,3.62,26.12,29.99,30.0,ঐ
-20.22,-0.8,9.25,7.99,-31.07,-93.69,4.46,27.08,30.82,30.67,ঐ
-7.18,5.48,8.81,-0.8,-28.78,-94.0,1.49,23.88,29.98,32.49,ঐ
-8.5,13.79,21.82,16.65,-18.37,-92.76,1.16,28.37,32.25,28.4,ঐ
-5.44,16.71,30.34,19.49,-38.93,-90.61,-0.45,29.52,34.13,48.52,ঐ
1.74,24.15,36.57,23.61,-30.62,-86.78,-0.47,33.8,38.52,47.06,ঐ
14.97,25.78,38.0,23.52,-32.01,-82.62,-0.15,34.77,38.68,43.38,ঐ
16.64,31.94,43.59,27.38,-20.13,-79.1,4.19,44.47,46.55,45.99,ঐ
5.41,30.31,38.45,24.76,-12.89,-72.16,15.78,55.63,54.02,50.93,ঐ
11.36,30.06,40.61,25.79,-19.02,-79.98,7.82,47.22,47.47,47.75,ঐ
8.15,30.35,36.71,21.12,-22.05,-71.09,13.26,52.61,51.34,53.83,ঐ
-3.1,21.95,32.11,19.62,-17.47,-79.38,13.24,48.37,48.26,53.3,ঐ
-9.9,13.02,26.25,14.97,-25.89,-86.73,9.9,40.31,41.56,54.62,ঐ
-5.25,15.21,30.93,19.14,-27.67,-86.39,2.48,33.34,37.0,47.39,ঐ
-24.41,6.84,18.54,11.06,-31.67,-88.74,4.36,30.06,35.23,48.19,ঐ
-19.94,2.79,13.9,6.6,-27.8,-87.74,10.56,36.56,39.73,60.39,ঐ
-22.07,-0.61,13.64,4.47,-39.6,-91.11,3.28,28.93,32.58,60.56,ঐ
-14.56,8.12,30.53,18.58,-28.43,-98.27,0.53,30.0,36.06,47.33,ঐ
5.52,17.5,33.8,18.35,-28.95,-88.85,-0.98,31.22,36.29,48.43,ঐ
2.37,19.73,34.97,18.37,-28.93,-88.82,1.15,33.67,38.16,48.56,ঐ
-1.98,22.59,37.75,22.12,-24.84,-77.71,2.9,36.96,41.4,47.26,ঐ
-2.09,23.84,39.38,27.97,-39.55,-79.66,4.11,39.92,36.84,29.96,ঐ
-3.54,28.89,42.4,27.48,-42.21,-80.41,5.05,42.49,36.31,28.72,ঐ
-11.47,26.18,34.71,23.68,-37.54,-69.72,16.31,51.96,45.23,40.82,ঐ
-17.79,21.57,32.83,20.4,-43.94,-76.39,8.96,41.02,38.57,38.76,ঐ
-12.84,17.9,38.22,23.45,-50.88,-97.83,-12.7,13.57,18.91,7.87,ঐ
-8.87,20.62,42.79,28.05,-46.05,-103.89,-16.01,9.76,15.42,6.31,ঐ
-11.7,26.21,44.58,28.74,-43.43,-93.43,-6.07,25.51,25.34,19.12,ঐ
-15.91,24.61,39.94,25.21,-44.28,-84.65,-0.07,32.43,30.11,24.97,ঐ
