p1,p2,p3,p4,p5,r1,r2,r3,r4,r5,label
-26.38,18.38,25.15,14.42,5.5,-46.6,-3.58,24.19,27.13,33.89,ও
-24.24,22.53,32.47,19.6,12.06,-43.23,-2.86,30.31,31.91,37.1,ও
-23.43,24.6,26.2,11.94,-0.03,-20.03,5.26,35.81,33.72,36.98,ও
-10.69,19.65,19.94,6.92,-4.7,-4.08,3.67,32.65,31.76,36.6,ও
-23.25,5.81,6.93,-2.67,-13.6,-30.44,0.77,24.16,24.39,32.44,ও
-27.52,2.52,7.84,-1.34,-11.55,-29.12,-1.0,20.91,23.03,30.98,ও
-28.84,2.95,7.56,-1.08,-11.0,-31.28,0.35,22.32,23.99,31.08,ও
-29.32,3.09,7.34,-1.41,-10.74,-33.32,1.17,23.38,24.91,31.9,ও
-30.55,2.14,6.74,-1.33,-10.15,-34.77,0.9,23.46,25.13,31.9,ও
-28.06,4.54,8.53,-0.54,-9.77,-36.42,1.15,24.48,26.16,32.97,ও
-34.65,-7.85,-6.09,-11.76,-16.76,-21.98,6.48,27.42,27.33,34.81,ও
-35.9,-11.6,-11.14,-16.13,-20.98,-17.54,6.91,27.17,26.59,34.05,ও
-36.98,-10.39,-8.5,-13.58,-18.51,-20.32,6.2,26.73,26.62,33.97,ও
-35.18,-9.98,-9.09,-14.46,-19.5,-20.17,8.2,30.09,29.91,37.22,ও
-22.98,-4.43,-5.55,-11.5,-15.01,-16.03,22.06,45.76,42.72,46.49,ও
-26.5,4.1,7.35,0.27,-3.52,-35.28,6.74,31.19,32.14,37.82,ও
-38.85,-0.73,5.45,-0.17,-8.24,-47.88,-9.65,10.72,15.13,23.49,ও
-36.92,0.65,6.0,-0.5,-9.16,-45.94,-6.78,14.62,18.14,26.47,ও
-38.45,-3.68,0.76,-4.54,-12.05,-38.95,-2.44,18.77,20.61,28.02,ও
-38.7,-7.41,-4.24,-8.98,-15.47,-31.31,2.31,22.87,23.24,30.21,ও
-43.57,-15.57,-13.27,-15.85,-20.4,-20.53,5.29,24.17,23.02,30.1,ও
-38.06,-9.81,-8.09,-10.2,-11.16,-19.63,6.58,27.41,27.04,34.93,ও
