p1,p2,p3,p4,p5,r1,r2,r3,r4,r5,label
-37.86,-68.42,-74.16,23.35,9.44,-57.17,32.79,82.15,34.67,31.34,ঋ
-38.25,-69.0,-78.34,29.01,12.67,-66.79,2.72,37.82,29.1,27.15,ঋ
-38.57,-68.21,-77.91,28.46,12.24,-63.88,4.33,40.9,29.75,27.48,ঋ
-41.12,-71.38,-80.96,26.11,9.88,-65.81,0.85,39.6,26.63,25.9,ঋ
-40.77,-69.52,-80.35,26.33,9.95,-64.9,0.04,37.77,26.81,26.35,ঋ
-37.28,-70.25,-79.96,22.69,7.21,-61.99,14.08,64.54,29.08,28.15,ঋ
-38.92,-70.49,-80.93,24.58,8.29,-65.0,4.57,46.83,27.68,26.98,ঋ
-38.5,-71.28,-81.41,23.69,7.95,-63.11,6.64,51.51,28.42,27.48,ঋ
-59.62,-73.72,-82.97,15.96,1.05,-55.45,26.68,27.91,19.83,21.91,ঋ
-59.71,-74.79,-83.72,15.22,0.29,-51.16,15.47,11.29,19.49,21.68,ঋ
-58.15,-71.23,-75.03,12.33,-0.71,-39.37,64.02,92.28,26.52,27.08,ঋ
-50.02,-66.37,-73.85,24.19,7.04,-62.69,11.8,21.44,23.84,24.28,ঋ
-53.29,-70.57,-78.01,22.91,6.56,-65.08,11.38,21.17,21.22,22.4,ঋ
-49.18,-64.63,-73.07,31.97,14.54,-68.07,14.07,30.0,29.07,24.49,ঋ
-49.15,-62.82,-70.45,28.68,12.24,-59.78,25.25,46.44,33.5,27.69,ঋ
-50.12,-62.81,-71.12,27.38,11.66,-57.4,26.94,52.85,33.23,27.65,ঋ
-51.17,-64.12,-72.39,26.4,10.72,-55.91,23.43,49.86,31.57,26.85,ঋ
-51.32,-63.77,-72.33,27.28,11.12,-57.55,17.85,44.84,30.64,26.41,ঋ
-54.34,-63.89,-72.01,28.08,11.51,-61.48,11.82,38.69,27.67,24.52,ঋ
-56.1,-67.36,-76.09,25.26,8.95,-62.44,9.89,36.73,25.14,23.04,ঋ
-57.18,-66.93,-74.52,25.94,10.17,-62.81,12.72,42.88,25.31,23.17,ঋ
-60.75,-69.49,-78.27,23.08,7.19,-61.35,5.97,33.5,22.52,21.64,ঋ
-51.08,-69.15,-77.74,23.77,6.91,-66.38,-0.77,21.79,22.46,22.35,ঋ
-56.82,-68.61,-80.92,20.79,4.9,-58.29,7.8,47.88,23.48,23.38,ঋ
-56.51,-70.66,-83.87,21.82,5.67,-59.28,49.4,39.94,24.49,24.26,ঋ
-56.35,-71.02,-83.11,21.01,5.06,-55.6,54.99,49.84,24.63,24.31,ঋ
-40.14,-54.26,-66.44,24.46,9.6,-48.19,54.57,59.37,39.94,34.21,ঋ
-39.04,-52.24,-64.07,22.65,8.73,-45.46,57.15,64.33,41.99,35.98,ঋ
-43.83,-61.18,-73.98,22.31,6.66,-48.98,47.23,46.37,34.74,31.04,ঋ
-54.33,-62.76,-64.32,31.78,12.36,-86.31,-8.7,-25.89,10.62,15.34,ঋ
-52.66,-61.67,-64.67,32.19,12.47,-80.53,-3.13,-18.24,13.34,17.11,ঋ
-56.22,-65.47,-69.2,27.98,9.64,-77.7,-0.9,-19.51,13.47,17.09,ঋ
-61.22,-73.23,-81.49,17.89,2.26,-55.95,29.54,-0.09,18.83,20.93,ঋ
-63.33,-71.06,-78.64,20.31,4.53,-60.59,29.38,8.9,17.82,20.29,ঋ
-62.87,-74.82,-86.39,8.82,-5.17,-31.62,73.86,113.98,22.25,23.98,ঋ
-61.38,-77.15,-88.62,16.06,1.46,-53.19,59.47,49.34,19.88,21.86,ঋ
-55.12,-65.93,-79.47,22.85,7.19,-63.27,21.93,23.03,22.09,23.19,ঋ
-57.48,-57.36,-89.08,17.93,2.42,-64.39,20.71,-21.34,19.2,21.57,ঋ
-54.8,-70.7,-87.27,14.84,-0.26,-57.7,64.9,-5.14,20.55,22.52,ঋ
-55.12,-69.92,-86.63,15.38,0.2,-57.55,63.96,15.6,21.11,23.02,ঋ
-52.87,-67.59,-84.17,15.89,0.84,-57.86,58.51,28.14,22.68,23.88,ঋ
-53.77,-75.95,-80.83,19.11,2.85,-78.55,0.51,-46.09,12.43,17.0,ঋ
-56.0,-77.08,-84.24,17.28,1.7,-70.14,26.98,-15.55,15.85,19.24,ঋ
