p1,p2,p3,p4,p5,r1,r2,r3,r4,r5,label
-19.15,34.9,37.17,26.83,14.74,-77.89,-1.79,35.68,32.3,31.69,এ
-26.44,28.59,30.49,21.86,12.1,-77.69,1.92,36.94,33.01,32.14,এ
-35.99,19.56,14.39,7.89,1.75,-55.7,21.45,52.6,43.85,40.67,এ
-32.82,21.91,15.18,8.03,1.82,-53.3,22.86,54.64,45.39,41.9,এ
-30.17,25.23,19.38,11.23,4.52,-55.05,19.7,52.88,44.02,40.46,এ
-30.82,25.88,20.51,12.39,4.99,-56.09,19.13,52.21,43.87,40.56,এ
-26.13,30.62,34.69,25.54,14.57,-79.55,-3.81,31.45,28.72,28.65,এ
-27.49,26.81,33.92,26.49,14.56,-89.25,-13.21,18.93,20.26,23.58,এ
-19.81,25.92,23.42,14.85,4.78,-78.71,9.39,41.29,35.18,34.53,এ
6.65,54.1,56.49,43.23,27.79,-77.17,-0.87,51.87,44.44,36.01,এ
-5.62,35.87,44.04,33.93,18.3,-96.44,-16.08,19.87,21.63,24.16,এ
-8.48,33.84,39.33,29.88,15.44,-92.28,-10.4,24.67,24.06,25.69,এ
-20.72,25.84,29.51,22.07,9.74,-89.93,-4.78,26.91,24.74,26.65,এ
-10.09,21.38,26.45,18.03,5.0,-98.27,-10.02,20.87,21.68,24.46,এ
-10.43,22.31,27.77,19.47,5.65,-97.85,-9.51,20.87,21.65,24.14,এ
-12.0,22.17,27.17,18.93,5.44,-96.83,-9.14,21.25,21.98,24.58,এ
-17.34,23.14,26.48,18.95,11.01,-86.22,-2.0,30.34,29.46,31.45,এ
-15.93,24.13,28.3,21.62,13.31,-87.99,-3.93,29.21,28.98,31.14,এ
-16.91,24.42,28.15,21.38,12.96,-86.46,-3.48,29.77,29.11,31.29,এ
1.89,38.09,44.79,34.59,22.69,-91.94,-9.3,31.16,31.94,32.14,এ
3.33,39.13,43.34,31.97,20.55,-93.07,-7.72,31.58,30.82,31.7,এ
1.19,38.79,42.44,31.58,20.28,-90.5,-6.22,33.19,31.87,32.24,এ
-8.64,19.71,23.28,15.91,5.44,-86.28,-2.32,30.09,29.26,29.7,এ
-10.7,18.52,21.39,15.09,5.4,-82.29,-0.92,31.66,30.82,30.62,এ
-17.25,12.81,15.35,10.02,3.49,-75.12,0.34,32.34,32.33,31.7,এ
-18.32,12.47,16.1,11.06,4.64,-76.13,0.08,32.23,31.84,31.36,এ
-17.85,13.02,16.06,10.89,4.0,-75.31,0.36,32.45,31.72,31.13,এ
-38.94,12.57,16.0,11.23,4.17,-61.41,-0.08,31.74,31.47,31.2,এ
-46.28,12.75,15.74,10.7,3.67,-62.09,0.7,32.44,31.48,31.58,এ
-43.16,13.23,15.9,10.64,3.24,-73.19,1.33,33.01,31.95,32.06,এ
-46.02,13.99,16.53,10.75,3.23,-72.2,1.64,33.66,32.51,32.42,এ
