p1,p2,p3,p4,p5,r1,r2,r3,r4,r5,label
-71.67,37.74,47.57,49.43,48.41,176.19,-61.66,-106.27,-124.49,-131.65,আ
-73.03,38.27,48.41,50.23,48.78,178.21,-60.17,-104.88,-123.72,-131.13,আ
-65.6,45.5,55.61,51.88,0.0,-159.63,-70.85,-121.6,-142.37,79.82,আ
-64.3,41.67,51.48,49.47,49.95,-170.93,-73.22,-120.27,-138.27,-143.6,আ
-65.18,44.66,54.17,50.01,49.38,-164.88,-71.78,-120.69,-138.27,-144.34,আ
-64.47,45.78,56.03,52.74,52.46,-162.79,-69.34,-118.42,-136.96,-143.47,আ
-63.82,47.69,58.12,53.88,53.1,-160.73,-68.67,-120.04,-139.92,-146.14,আ
-63.5,46.53,55.87,51.22,50.13,-161.53,-72.65,-125.24,-143.59,-149.8,আ
-68.07,34.92,42.89,42.94,45.32,-155.5,-73.81,-119.61,-129.85,-131.27,আ
-72.26,34.19,42.73,43.64,44.99,-138.02,-63.45,-108.0,-120.36,-124.82,আ
-71.35,36.08,44.99,46.36,47.92,-141.35,-63.35,-107.39,-120.49,-125.56,আ
-73.11,35.47,43.83,45.04,46.25,-152.03,-68.04,-112.95,-125.09,-128.96,আ
-71.2,33.63,42.36,44.75,46.4,-156.51,-65.25,-106.77,-117.51,-122.0,আ
-72.86,32.9,42.49,44.06,45.42,-156.01,-62.85,-104.73,-117.94,-123.1,আ
-71.13,36.56,46.86,48.17,48.88,-153.45,-64.35,-108.13,-122.56,-128.75,আ
-70.44,36.02,43.54,43.92,44.26,-161.75,-68.9,-116.54,-129.31,-132.4,আ
-68.09,37.93,47.25,48.56,49.43,-154.82,-61.67,-106.18,-120.66,-125.85,আ
-70.25,36.63,45.64,46.59,47.58,-156.68,-64.49,-109.15,-123.96,-129.08,আ
-68.74,36.57,46.05,47.76,49.28,-154.78,-61.04,-103.99,-118.51,-123.37,আ
-67.06,40.53,48.44,47.02,46.34,-154.23,-68.92,-120.31,-135.47,-139.86,আ
-66.22,36.63,46.31,48.01,49.51,-136.68,-59.47,-101.07,-115.39,-119.76,আ
-65.84,34.64,44.42,47.59,50.16,-138.82,-57.45,-97.1,-110.66,-115.91,আ
-63.19,36.71,46.27,48.51,50.27,-144.27,-60.89,-100.38,-114.93,-120.52,আ
-66.62,34.85,43.94,46.08,47.8,-143.83,-59.24,-101.51,-115.78,-121.03,আ
-64.68,38.23,47.69,48.66,49.5,-142.07,-62.22,-107.07,-122.15,-127.43,আ
-80.7,34.16,49.47,50.41,48.97,-120.33,-7.14,-28.52,-35.31,-31.44,আ
-23.63,0.76,0.53,-14.56,-19.69,-38.15,16.96,3.88,-2.83,-4.25,আ
-56.1,43.06,50.27,50.77,51.8,-119.58,-66.9,-114.45,-126.87,-136.95,আ
-57.84,43.7,51.76,52.23,52.71,-118.09,-62.52,-111.43,-126.01,-137.58,আ
-57.67,42.37,50.26,51.8,52.72,-130.71,-66.92,-111.47,-124.41,-134.9,আ
-59.67,44.8,52.8,53.06,53.28,-124.68,-65.56,-114.8,-128.38,-137.46,আ
-59.43,44.43,52.39,52.52,52.5,-127.4,-66.29,-115.63,-129.48,-140.01,আ
-59.56,43.21,51.34,51.7,51.92,-131.25,-66.41,-113.78,-127.59,-138.19,আ
-59.55,43.43,50.94,51.63,52.12,-132.34,-67.66,-115.07,-128.1,-138.33,আ
-57.61,44.4,52.53,53.42,54.21,-133.28,-66.17,-112.07,-125.66,-135.77,আ
-56.5,45.47,54.82,55.08,55.04,-132.5,-64.06,-109.24,-124.25,-135.64,আ
-60.39,43.42,50.76,51.2,51.59,-129.91,-70.06,-118.13,-130.95,-140.65,আ
-60.58,38.15,44.37,47.16,48.41,-137.87,-65.89,-110.07,-117.75,-129.95,আ
-61.54,43.18,50.95,52.82,52.11,-136.13,-62.17,-109.7,-120.69,-132.21,আ
-62.39,43.46,53.73,56.44,57.7,-115.01,-58.24,-102.41,-115.27,-120.17,আ
-61.67,44.36,54.46,56.6,56.85,-119.08,-60.02,-106.3,-120.75,-127.47,আ
-62.03,42.95,52.45,54.46,54.95,-118.99,-59.27,-104.86,-118.79,-125.04,আ
-62.4,42.23,52.11,55.28,56.31,-120.66,-60.02,-102.52,-114.22,-119.76,আ
-61.65,43.73,54.41,56.95,57.3,-119.31,-58.08,-104.73,-118.84,-124.05,আ
-58.44,46.78,56.34,58.44,58.87,-122.67,-61.45,-106.88,-119.13,-125.36,আ
-61.47,43.92,53.01,55.72,56.57,-122.48,-61.64,-106.0,-117.94,-122.94,আ
-62.27,42.14,51.14,54.22,55.75,-121.24,-58.63,-101.39,-112.96,-117.54,আ
-62.07,42.34,52.06,55.03,55.69,-122.49,-61.13,-105.09,-118.24,-124.38,আ
-61.75,44.22,53.68,56.27,56.82,-121.93,-62.47,-106.93,-119.2,-124.52,আ
-61.35,43.69,53.7,56.31,57.15,-120.45,-59.17,-102.13,-114.89,-120.24,আ
-62.71,43.5,53.09,55.31,55.95,-119.7,-59.89,-104.88,-118.22,-124.41,আ
-61.45,44.04,53.9,56.36,57.12,-120.41,-59.26,-103.4,-116.7,-122.17,আ
-62.06,43.18,52.7,55.04,55.64,-121.33,-60.45,-105.4,-118.72,-124.62,আ
-62.23,43.63,53.1,55.57,56.43,-123.27,-63.03,-107.62,-120.0,-124.48,আ
-61.93,43.72,53.67,56.38,57.11,-120.8,-59.14,-102.75,-116.06,-121.9,আ
-62.04,43.93,54.51,57.29,57.87,-120.19,-58.18,-100.85,-113.83,-119.67,আ
-62.99,43.24,52.76,55.37,56.08,-120.25,-61.35,-106.69,-119.67,-124.82,আ
-61.03,43.54,52.98,55.66,56.38,-119.85,-58.21,-102.6,-115.52,-120.56,আ
-63.65,43.45,52.95,55.76,56.35,-120.78,-60.96,-106.19,-119.42,-123.82,আ
-62.94,42.25,52.18,55.37,56.12,-124.66,-60.82,-104.64,-117.52,-123.1,আ
-57.97,36.35,38.48,39.2,39.59,-123.37,-76.11,-121.09,-128.55,-133.93,আ
-57.66,35.51,39.36,40.61,41.62,-130.68,-70.34,-115.56,-122.61,-131.99,আ
-61.33,35.33,39.95,41.81,43.04,-122.6,-65.21,-109.33,-115.99,-124.89,আ
-60.51,37.42,43.08,44.66,46.1,-118.08,-62.67,-107.3,-115.11,-124.54,আ
-59.58,40.19,45.13,46.36,46.8,-117.99,-65.21,-112.88,-120.49,-130.09,আ
-60.56,40.56,45.62,46.91,47.63,-118.55,-64.71,-111.42,-119.48,-127.98,আ
-59.64,40.91,47.65,49.85,50.47,-120.27,-61.08,-106.83,-116.72,-126.56,আ
-60.97,41.09,47.47,49.08,49.69,-122.07,-61.06,-106.79,-116.17,-127.16,আ
-62.28,39.74,45.77,47.66,48.3,-124.78,-63.12,-108.41,-117.32,-126.77,আ
-63.93,38.42,44.48,46.62,46.95,-124.93,-61.85,-107.35,-117.14,-127.0,আ
-63.2,40.66,47.54,49.56,50.02,-121.53,-61.4,-107.05,-117.4,-126.49,আ
-60.12,42.29,48.55,50.36,51.73,-123.14,-63.12,-110.85,-121.4,-129.15,আ
-61.48,42.29,49.06,50.6,50.24,-121.65,-61.83,-110.52,-122.23,-133.5,আ
-61.82,41.96,49.0,51.07,51.18,-121.77,-61.54,-109.09,-120.43,-130.91,আ
-62.16,42.26,49.0,51.15,51.7,-123.74,-63.36,-111.05,-121.31,-129.97,আ
-63.46,41.14,48.37,50.51,50.89,-123.51,-61.06,-107.97,-119.37,-128.84,আ
-64.17,39.8,47.27,50.13,51.13,-124.97,-60.3,-105.38,-116.54,-125.72,আ
-63.87,39.99,47.64,50.27,50.96,-129.19,-60.63,-105.98,-117.35,-126.85,আ
-63.1,40.96,48.62,51.11,51.64,-129.48,-60.44,-105.87,-118.06,-127.38,আ
-64.65,40.61,49.21,51.7,51.66,-131.06,-58.12,-101.63,-114.31,-126.02,আ
-65.83,41.41,49.73,51.67,51.45,-130.53,-59.5,-104.74,-116.97,-127.9,আ
-58.48,42.67,49.46,51.19,51.94,-134.36,-63.84,-109.66,-121.49,-130.78,আ
-60.09,41.16,48.94,51.14,52.78,-128.67,-60.41,-104.49,-117.63,-126.93,আ
-60.15,42.28,49.85,52.08,52.94,-132.37,-60.34,-105.0,-117.48,-128.25,আ
-62.6,43.36,51.04,52.6,52.87,-133.28,-61.23,-106.99,-119.57,-128.96,আ
-61.94,44.13,52.29,53.71,53.77,-130.9,-58.82,-104.71,-118.86,-129.31,আ
-61.45,43.35,51.72,53.8,54.36,-135.12,-57.73,-101.68,-114.99,-125.8,আ
-63.01,41.96,50.15,51.89,52.4,-133.49,-61.23,-106.31,-119.15,-128.94,আ
-61.88,41.4,48.82,51.38,52.28,-136.59,-58.55,-102.91,-115.28,-127.01,আ
-60.34,48.66,53.4,54.57,54.32,-141.9,-68.66,-114.79,-125.85,-135.26,আ
-67.44,46.67,56.34,56.86,56.39,-134.01,-55.71,-100.6,-116.23,-128.38,আ
-58.08,40.68,49.95,50.21,50.68,-104.19,-57.42,-103.5,-119.62,-129.46,আ
-57.6,43.55,52.49,52.44,52.38,-121.11,-61.71,-105.63,-119.96,-129.67,আ
-54.07,46.41,54.71,51.67,50.28,-128.18,-66.31,-114.72,-131.73,-139.58,আ
-59.19,45.49,54.7,53.88,53.31,-130.01,-63.81,-109.6,-126.61,-134.95,আ
-58.97,44.87,54.01,53.64,53.26,-134.55,-61.41,-106.85,-124.05,-132.52,আ
-61.98,47.64,51.61,50.05,48.37,-154.89,-69.99,-126.87,-140.7,-149.43,আ
-46.97,41.87,44.75,43.82,42.79,-134.29,-76.85,-128.9,-139.09,-146.01,আ
-46.96,49.49,52.99,50.61,48.72,-137.3,-77.6,-133.73,-144.91,-151.39,আ
-49.26,49.03,56.24,53.29,50.25,-140.12,-69.0,-124.51,-140.25,-148.83,আ
-44.81,48.23,54.87,52.93,51.47,-135.69,-72.91,-127.32,-140.49,-147.76,আ
-45.94,46.94,51.73,49.32,47.52,-135.34,-75.71,-130.84,-143.16,-149.79,আ
-43.7,47.78,51.17,49.08,47.9,-137.39,-79.76,-134.09,-146.11,-152.31,আ
-50.29,42.48,47.42,47.08,46.81,-124.3,-71.3,-124.61,-137.62,-145.75,আ
-47.84,44.09,51.4,50.83,50.37,-111.03,-67.2,-123.32,-135.29,-142.62,আ
-51.5,44.28,51.82,51.14,50.91,-112.93,-66.25,-120.26,-133.91,-139.43,আ
-51.2,43.76,51.51,51.69,51.83,-110.78,-67.73,-120.81,-133.03,-137.45,আ
-50.16,46.72,54.34,53.55,52.57,-106.63,-65.5,-122.76,-135.35,-140.55,আ
-51.18,45.4,52.92,53.5,53.15,-112.5,-65.22,-118.57,-129.27,-135.31,আ
-51.37,42.72,48.23,50.74,51.87,-120.82,-73.91,-122.37,-130.25,-134.14,আ
-54.69,46.5,51.35,52.35,51.06,-109.7,-68.93,-123.95,-130.93,-140.75,আ
-52.95,43.64,48.36,48.77,47.41,-113.52,-71.28,-124.72,-130.03,-138.33,আ
-51.09,45.04,51.2,51.41,49.88,-115.12,-68.22,-120.72,-127.96,-135.94,আ
-54.83,41.92,47.98,49.17,47.98,-116.41,-70.34,-120.78,-127.32,-134.46,আ
-51.68,43.16,49.53,50.68,50.84,-120.45,-71.07,-121.31,-129.9,-135.11,আ
-51.44,44.72,51.18,51.74,51.19,-118.88,-71.18,-122.67,-131.91,-137.75,আ
-51.42,43.63,50.2,51.25,51.3,-119.1,-71.82,-122.36,-131.19,-136.65,আ
-51.03,43.76,50.06,51.13,51.12,-120.88,-72.42,-122.37,-131.0,-136.9,আ
-53.15,44.52,51.17,51.78,51.44,-119.37,-71.7,-123.26,-133.1,-139.31,আ
-51.26,43.56,51.28,52.13,51.78,-121.14,-69.21,-118.76,-128.72,-135.37,আ
-53.83,42.66,50.09,51.48,51.59,-118.97,-68.89,-118.42,-128.22,-133.93,আ
-50.46,40.21,45.46,49.28,51.58,-116.11,-72.67,-120.51,-128.11,-132.64,আ
-53.04,44.57,51.7,52.76,51.79,-117.63,-65.06,-116.05,-124.95,-131.58,আ
-52.62,46.29,55.87,56.28,54.23,-111.1,-57.8,-106.77,-118.81,-127.76,আ
-54.3,45.2,53.14,54.01,52.5,-117.23,-65.62,-115.46,-123.81,-131.09,আ
-54.59,45.06,53.4,53.35,52.08,-118.0,-63.18,-112.49,-122.35,-129.37,আ
-53.17,45.7,54.01,54.44,54.2,-118.48,-63.86,-111.24,-120.18,-126.0,আ
-50.12,44.87,54.21,54.19,54.41,-117.66,-62.33,-108.27,-120.04,-126.98,আ
-50.42,44.13,52.72,54.28,54.75,-119.88,-63.21,-110.71,-121.2,-128.51,আ
