p1,p2,p3,p4,p5,r1,r2,r3,r4,r5,label
1.16,-23.32,-18.6,-15.76,-15.64,-107.48,-32.95,-14.68,0.17,5.76,অ
0.82,-22.66,-18.11,-15.62,-15.71,-107.12,-32.1,-13.6,0.86,6.21,অ
-0.25,-23.33,-18.95,-16.36,-16.09,-107.6,-32.92,-14.72,-0.07,5.46,অ
2.65,-22.02,-16.47,-13.4,-13.43,-106.09,-25.38,-3.35,11.64,15.07,অ
-5.9,-17.34,-10.56,-10.67,-11.51,-78.38,2.63,21.61,28.34,28.69,অ
-4.87,-14.83,-9.22,-10.94,-11.46,-70.53,9.69,30.78,35.72,33.62,অ
-7.5,-20.14,-16.61,-18.15,-15.02,-79.46,3.31,24.25,28.06,26.84,অ
6.27,-2.89,2.92,-2.88,-4.45,-94.67,-22.17,-2.37,8.86,13.74,অ
1.92,-9.06,-4.29,-5.88,-9.35,-101.15,-30.45,-10.28,4.84,9.94,অ
5.74,-3.95,1.76,-1.58,-5.78,-97.11,-28.63,-7.82,7.52,11.76,অ
4.12,-4.13,1.51,-2.35,-6.14,-94.74,-26.31,-5.29,9.3,13.24,অ
-12.34,-20.09,-16.2,-16.55,-16.89,-91.26,-20.37,0.58,12.09,15.58,অ
-15.83,-23.51,-19.46,-19.38,-19.29,-90.21,-18.49,1.88,12.67,15.79,অ
-14.07,-21.35,-17.91,-18.76,-18.11,-86.41,-15.1,6.14,16.78,19.08,অ
-12.27,-18.9,-14.97,-16.58,-16.87,-86.62,-15.49,5.96,17.01,19.21,অ
1.42,-5.14,0.99,-3.64,-7.16,-83.85,-14.51,7.2,19.36,20.95,অ
-1.1,-13.47,-8.04,-11.2,-11.87,-84.2,-13.47,8.06,20.77,21.1,অ
-4.52,-14.88,-8.69,-12.04,-12.46,-70.65,5.84,28.56,36.04,32.28,অ
-6.34,-17.36,-9.61,-10.15,-9.36,-75.55,4.63,26.16,33.89,30.09,অ
7.48,-25.34,-28.2,-25.46,-17.03,-87.72,-13.22,9.54,8.69,18.52,অ
5.42,-12.05,-16.86,-14.29,-11.12,-91.92,-12.9,7.78,5.73,16.12,অ
5.18,-8.18,-7.77,-9.27,-10.4,-90.0,-16.45,6.61,12.41,18.17,অ
5.86,-7.63,-6.99,-7.94,-9.96,-88.98,-16.97,6.44,13.87,18.52,অ
4.25,-6.09,-0.81,-1.72,-5.51,-90.14,-18.64,4.69,17.14,18.89,অ
4.05,-6.92,-1.6,-2.39,-6.33,-91.73,-20.33,1.95,14.99,17.77,অ
1.4,-2.6,1.4,-2.36,-6.28,-73.89,-4.08,19.59,28.98,28.8,অ
0.68,-3.77,0.79,-2.54,-6.3,-75.21,-3.63,19.32,28.44,28.18,অ
7.73,1.89,7.63,3.52,-1.32,-72.79,-2.39,21.48,31.61,29.81,অ
7.02,1.25,6.6,2.48,-1.7,-71.56,-1.15,22.97,32.38,30.35,অ
7.15,-1.46,2.16,-2.65,-6.98,-85.47,-17.8,4.86,15.49,16.98,অ
0.59,-14.99,-9.59,-8.33,-12.66,-103.13,-30.32,-10.45,4.62,9.44,অ
-2.39,-14.95,-9.97,-8.4,-12.32,-95.74,-21.95,-1.91,11.34,14.74,অ
-0.37,-12.03,-11.56,-11.48,-14.26,-97.17,-25.46,-7.88,4.68,11.96,অ
-2.43,-10.08,-7.56,-8.0,-11.72,-92.28,-24.07,-5.22,8.06,14.28,অ
-3.95,-11.12,-7.8,-8.13,-11.92,-94.87,-23.51,-4.48,9.04,14.31,অ
-3.55,-10.65,-7.56,-8.04,-12.2,-94.06,-23.85,-4.78,8.84,14.2,অ
-4.88,-12.32,-9.06,-8.59,-12.07,-95.92,-23.95,-5.46,8.26,13.73,অ
7.2,-1.81,2.14,-0.21,-6.42,-94.4,-26.97,-7.34,8.27,13.06,অ
5.91,-2.24,1.99,0.01,-6.4,-93.89,-27.13,-6.89,8.55,13.27,অ
4.85,-2.98,0.74,-1.0,-7.01,-91.93,-25.73,-4.99,9.77,14.09,অ
1.68,-1.81,2.17,0.09,-6.02,-84.59,-16.18,5.75,18.58,20.81,অ
0.31,0.38,3.74,0.35,-3.81,-73.88,-7.99,14.98,26.05,26.85,অ
-0.27,-1.44,3.32,-0.09,-6.08,-77.4,-8.17,13.21,24.46,24.84,অ
-11.46,-20.04,-16.27,-16.5,-17.2,-77.52,-3.94,17.32,25.55,26.07,অ
-12.1,-18.87,-18.12,-17.56,-18.25,-79.32,-6.16,15.0,24.68,25.1,অ
-12.99,-19.13,-18.93,-17.63,-17.2,-81.32,-8.73,12.42,20.23,22.17,অ
-12.63,-20.3,-18.46,-14.9,-17.27,-106.01,-33.78,-15.62,-1.07,5.34,অ
-12.01,-18.81,-17.03,-13.6,-16.01,-101.25,-28.76,-9.68,3.91,9.28,অ
-11.71,-17.94,-16.38,-13.47,-16.0,-101.31,-28.38,-9.24,4.52,9.74,অ
-15.06,-22.02,-21.35,-17.97,-18.69,-99.14,-28.14,-8.73,4.73,9.68,অ
-0.24,-8.82,-6.05,-5.85,-9.25,-103.2,-33.47,-13.58,1.96,7.84,অ
-0.6,-9.82,-6.94,-6.0,-9.29,-102.33,-33.04,-12.97,2.43,7.55,অ
