p1,p2,p3,p4,p5,r1,r2,r3,r4,r5,label
-20.04,6.53,-1.9,-1.06,-8.24,-109.18,19.22,13.3,5.53,21.9,অ
-20.39,5.74,-2.26,-1.19,-8.23,-108.83,19.71,13.95,6.42,22.88,অ
-20.79,5.37,-2.85,-2.06,-8.79,-108.04,19.2,12.96,5.24,21.54,অ
-22.31,6.13,-1.89,-1.08,-7.71,-108.16,19.49,13.4,5.61,21.51,অ
-20.56,5.01,-3.15,-2.37,-9.03,-106.95,19.58,13.29,5.61,21.37,অ
-23.78,5.69,-2.32,-1.89,-8.83,-106.98,18.67,12.53,4.91,21.08,অ
-23.89,5.85,-2.01,-1.95,-8.92,-106.18,18.81,12.65,4.02,20.73,অ
-21.91,7.26,0.4,1.88,-4.96,-108.73,18.27,12.45,4.93,21.62,অ
-20.74,6.44,-0.83,0.48,-6.75,-108.19,18.83,12.67,5.46,22.06,অ
-20.47,5.81,-1.5,-0.3,-7.45,-108.48,18.94,12.83,5.77,22.47,অ
-20.99,5.84,-1.15,-0.11,-7.05,-108.92,18.4,12.04,4.78,21.72,অ
-21.03,6.38,-0.47,0.87,-6.21,-108.87,19.15,13.1,5.86,22.5,অ
-20.91,6.75,-0.12,0.98,-6.4,-111.73,19.75,13.73,6.46,22.97,অ
-22.01,6.12,-0.43,1.0,-5.96,-109.76,18.91,12.74,5.26,21.91,অ
-22.12,5.74,-0.62,0.58,-6.48,-108.08,18.52,12.37,4.87,21.42,অ
-22.48,5.42,-1.63,-0.71,-8.34,-110.99,19.11,13.05,5.94,22.38,অ
-24.99,13.15,7.74,7.18,3.21,-114.15,22.47,15.14,5.18,14.49,অ
-27.54,12.52,7.73,6.47,2.03,-113.96,21.83,14.89,5.95,15.05,অ
-29.54,10.06,4.84,3.56,-0.31,-108.21,21.72,14.38,5.48,13.84,অ
-25.02,8.87,3.41,1.28,-3.15,-112.78,22.32,15.05,6.68,14.99,অ
-25.79,8.46,3.52,2.21,-2.08,-111.39,22.05,14.5,5.85,14.31,অ
-27.29,9.06,3.77,2.54,-1.31,-108.84,22.08,14.51,5.71,13.86,অ
-26.88,9.12,3.96,2.46,-1.78,-110.54,22.4,15.07,6.39,14.75,অ
-26.93,8.81,3.45,1.84,-2.45,-109.33,22.5,15.15,6.46,14.51,অ
-27.09,8.37,3.1,1.49,-2.88,-109.94,22.43,15.22,6.78,14.66,অ
-27.61,8.1,2.68,0.88,-3.58,-110.22,22.95,15.84,7.53,15.08,অ
-27.95,7.45,1.79,0.03,-4.6,-109.83,23.02,16.04,7.87,15.16,অ
-27.52,6.95,1.3,-0.46,-4.77,-109.57,22.81,15.6,7.54,15.03,অ
-29.37,7.96,2.64,0.97,-3.22,-109.45,22.27,15.23,7.32,14.9,অ
-29.64,8.03,2.91,1.57,-3.31,-110.58,22.94,16.24,8.9,16.32,অ
-28.95,7.07,1.78,0.07,-4.45,-111.38,23.38,16.7,9.37,16.63,অ
-29.76,7.94,2.8,0.78,-3.88,-111.26,22.54,15.79,8.49,15.75,অ
-28.08,6.34,0.78,-1.03,-5.21,-109.68,23.77,16.79,9.36,16.56,অ
-28.15,6.19,0.69,-1.34,-5.68,-110.61,23.41,16.48,9.11,16.29,অ
-28.74,6.46,1.2,-0.64,-5.22,-110.01,23.65,16.95,9.87,17.15,অ
-28.64,5.97,0.46,-1.64,-6.56,-111.05,23.59,16.72,9.56,16.98,অ
-29.22,16.71,11.06,5.98,-4.96,-125.76,25.44,20.21,11.65,22.26,অ
-31.14,16.74,12.11,9.19,0.27,-124.35,24.09,18.74,9.28,19.71,অ
-31.79,14.82,10.22,7.6,-1.35,-121.64,25.13,19.98,11.03,21.24,অ
-32.79,15.56,10.89,8.23,-1.02,-122.72,26.03,21.0,11.87,21.59,অ
-33.32,13.99,8.98,6.04,-2.75,-120.26,25.15,19.56,10.38,20.29,অ
-34.23,15.28,10.7,7.86,-1.2,-121.32,25.15,19.99,11.08,21.05,অ
-34.19,13.75,8.73,6.03,-4.25,-120.04,25.76,20.13,12.73,21.0,অ
-33.76,14.99,10.38,7.58,-3.03,-122.58,25.26,19.76,12.43,20.88,অ
-33.23,14.68,9.47,6.09,-4.58,-122.3,25.74,20.17,12.72,21.07,অ
-33.51,14.15,9.07,6.45,-3.8,-120.04,26.02,20.05,12.43,20.63,অ
-33.86,14.49,9.33,6.39,-4.02,-120.42,25.59,20.04,12.69,20.97,অ
-32.48,13.66,7.93,4.6,-5.8,-121.02,26.44,20.83,13.61,21.5,অ
