p1,p2,p3,p4,p5,r1,r2,r3,r4,r5,label,label_encoded
-1.99,-16.57,-21.79,-13.19,-8.98,47.72,-37.25,-67.54,-86.76,-85.69,ত,25
-1.73,-16.12,-21.38,-12.94,-8.74,48.55,-37.39,-67.43,-86.61,-86.01,ত,25
-0.71,-17.04,-21.95,-13.1,-8.63,46.81,-38.34,-69.26,-88.21,-87.51,ত,25
-2.26,-17.27,-22.87,-14.26,-9.65,46.4,-37.04,-67.94,-87.95,-87.57,ত,25
-1.26,-17.74,-22.93,-16.19,-13.84,48.16,-35.27,-64.18,-81.14,-84.12,ত,25
0.35,-18.28,-22.96,-15.95,-12.94,46.66,-36.55,-65.93,-82.47,-85.36,ত,25
0.15,-18.25,-23.2,-16.11,-13.23,47.29,-36.55,-65.98,-82.51,-85.41,ত,25
-0.98,-19.02,-24.3,-17.31,-14.17,46.03,-35.8,-65.44,-82.74,-86.08,ত,25
-4.71,-18.26,-24.73,-18.53,-15.97,47.49,-33.04,-62.06,-80.35,-84.51,ত,25
-0.96,-19.54,-24.91,-17.68,-14.41,45.14,-36.19,-66.18,-83.55,-86.85,ত,25
-0.67,-19.04,-24.21,-16.93,-13.79,45.5,-36.27,-66.14,-83.36,-86.87,ত,25
-1.82,-19.41,-25.06,-17.86,-14.91,45.62,-35.48,-65.36,-83.0,-86.65,ত,25
-1.36,-18.66,-24.14,-17.31,-14.5,46.22,-35.63,-65.15,-82.8,-86.42,ত,25
-2.25,-19.56,-25.4,-18.62,-15.57,45.15,-35.14,-64.99,-82.93,-86.69,ত,25
-2.43,-19.53,-25.29,-18.51,-15.57,45.59,-35.02,-64.85,-82.24,-86.38,ত,25
-1.58,-20.13,-25.76,-18.48,-15.24,44.75,-35.81,-66.19,-83.87,-87.79,ত,25
-3.46,-20.05,-25.99,-19.37,-16.39,45.18,-34.14,-63.88,-82.02,-85.95,ত,25
-2.04,-20.08,-25.88,-18.84,-15.67,44.73,-35.52,-65.74,-83.35,-87.26,ত,25
-2.28,-19.54,-25.45,-18.73,-15.72,45.97,-35.31,-65.04,-82.94,-86.8,ত,25
-1.85,-19.82,-25.42,-18.63,-15.5,45.09,-35.64,-65.46,-83.11,-87.11,ত,25
-3.3,-20.73,-26.87,-20.14,-17.04,43.95,-34.66,-64.77,-82.74,-87.22,ত,25
-3.04,-19.32,-25.4,-18.92,-16.2,46.18,-34.88,-64.17,-81.96,-85.87,ত,25
-3.74,-19.86,-25.96,-19.53,-16.64,45.0,-34.5,-64.1,-81.95,-86.48,ত,25
-3.81,-19.91,-26.21,-19.81,-17.07,45.23,-34.42,-64.01,-82.19,-86.67,ত,25
-3.12,-20.04,-26.03,-19.38,-16.41,44.75,-34.99,-64.95,-82.8,-87.38,ত,25
-3.9,-19.69,-26.05,-19.66,-16.74,45.63,-34.31,-63.68,-81.83,-86.52,ত,25
-3.24,-20.89,-27.31,-20.45,-17.25,44.01,-34.51,-64.93,-83.43,-88.14,ত,25
-2.37,-20.69,-26.69,-19.71,-16.65,43.77,-35.32,-65.68,-83.84,-88.5,ত,25
-3.29,-21.03,-27.43,-20.49,-17.23,43.77,-34.64,-65.5,-83.75,-88.6,ত,25
-2.71,-20.78,-26.81,-19.86,-16.76,43.93,-35.08,-65.47,-83.67,-88.2,ত,25
-3.53,-20.96,-27.54,-20.73,-17.52,43.89,-34.51,-64.95,-83.57,-88.22,ত,25
-3.19,-20.63,-27.12,-20.48,-17.27,44.16,-34.85,-65.05,-83.3,-88.22,ত,25
-3.95,-20.87,-27.44,-20.84,-17.56,43.88,-34.29,-64.74,-83.28,-88.38,ত,25
-3.37,-21.08,-27.4,-20.8,-17.5,43.79,-34.69,-65.28,-83.54,-88.5,ত,25
-4.48,-21.23,-28.08,-21.45,-18.29,43.73,-33.77,-64.13,-82.73,-87.86,ত,25
-3.38,-22.05,-28.46,-21.38,-17.91,42.32,-34.75,-65.67,-84.39,-89.24,ত,25
-1.02,-21.97,-27.89,-20.59,-17.13,42.99,-36.67,-67.48,-84.52,-90.2,ত,25
-3.2,-22.39,-28.69,-20.83,-16.79,41.56,-35.17,-66.64,-84.5,-90.1,ত,25
-0.28,-21.68,-26.92,-19.11,-15.08,42.64,-37.52,-68.69,-85.39,-90.49,ত,25
0.21,-22.0,-27.29,-19.3,-14.86,41.8,-37.71,-69.49,-86.53,-91.59,ত,25
1.84,-22.4,-26.94,-18.47,-13.97,41.05,-39.21,-71.3,-87.64,-92.51,ত,25
0.79,-22.43,-27.54,-19.39,-15.1,41.43,-38.26,-70.37,-87.49,-92.49,ত,25
0.32,-21.89,-27.08,-19.02,-14.7,41.86,-37.98,-69.81,-86.81,-91.72,ত,25
-0.55,-21.43,-29.22,-21.43,-15.96,41.85,-33.7,-67.46,-89.35,-91.4,ত,25
2.18,-22.15,-29.16,-20.76,-14.94,41.24,-35.01,-68.89,-90.53,-92.28,ত,25
0.25,-22.74,-30.73,-22.25,-16.26,40.41,-33.68,-68.15,-90.45,-92.4,ত,25
0.44,-22.29,-30.08,-21.71,-15.78,40.93,-33.9,-68.24,-90.7,-92.91,ত,25
2.0,-23.12,-30.65,-21.89,-15.56,39.95,-35.16,-69.88,-91.9,-93.67,ত,25
3.31,-20.49,-27.19,-19.06,-13.35,43.74,-36.32,-69.62,-90.04,-91.44,ত,25
-1.76,-21.23,-29.65,-22.4,-16.94,42.67,-32.31,-65.26,-87.94,-90.19,ত,25
-0.66,-21.52,-29.42,-21.78,-16.18,42.54,-33.27,-66.49,-88.43,-90.6,ত,25
0.06,-23.17,-30.85,-22.75,-16.95,40.37,-33.57,-67.76,-89.39,-91.35,ত,25
2.77,-22.09,-28.59,-19.79,-13.7,41.29,-35.72,-69.53,-90.62,-91.81,ত,25
1.8,-21.82,-29.03,-20.53,-14.46,42.16,-34.58,-68.76,-90.44,-91.81,ত,25
1.59,-21.48,-28.55,-20.08,-14.07,41.84,-34.6,-68.64,-90.64,-92.43,ত,25
3.21,-21.51,-28.07,-19.36,-13.09,41.68,-35.93,-70.02,-91.44,-92.46,ত,25
2.12,-22.55,-29.43,-20.6,-14.44,40.2,-35.13,-69.49,-91.27,-92.53,ত,25
3.59,-22.3,-28.44,-19.0,-12.63,40.09,-36.55,-71.29,-92.76,-93.88,ত,25
3.39,-22.03,-28.29,-19.15,-12.91,41.07,-36.22,-70.91,-91.94,-93.0,ত,25
3.45,-22.09,-28.25,-19.22,-12.71,40.62,-36.42,-71.13,-92.33,-93.42,ত,25
3.66,-23.3,-29.78,-20.36,-13.56,39.38,-36.73,-72.1,-93.5,-94.95,ত,25
8.98,-21.49,-25.71,-15.5,-8.78,41.86,-40.32,-74.87,-93.73,-93.41,ত,25
6.1,-15.2,-18.94,-11.17,-6.84,49.39,-38.12,-68.69,-86.22,-85.8,ত,25
4.7,-18.36,-23.64,-15.17,-9.41,46.52,-36.87,-69.36,-88.98,-89.15,ত,25
7.04,-17.26,-21.17,-12.99,-7.83,47.02,-38.75,-70.56,-88.76,-88.43,ত,25
6.96,-19.99,-24.46,-15.28,-9.34,43.73,-38.69,-71.84,-90.73,-90.57,ত,25
5.05,-19.52,-25.0,-16.43,-10.51,44.32,-37.24,-70.26,-90.37,-90.64,ত,25
4.23,-20.84,-26.55,-17.55,-11.19,42.61,-36.83,-70.75,-90.97,-91.57,ত,25
4.71,-20.4,-26.02,-17.16,-11.14,42.78,-37.07,-70.56,-90.59,-91.04,ত,25
4.17,-21.02,-26.89,-17.93,-11.54,42.16,-36.69,-70.97,-91.68,-91.99,ত,25
4.88,-21.31,-26.72,-17.5,-11.37,41.4,-37.45,-71.57,-91.69,-92.39,ত,25
3.95,-20.77,-26.93,-17.99,-11.63,42.51,-36.62,-70.31,-91.09,-91.91,ত,25
5.59,-20.42,-26.0,-16.9,-10.54,42.85,-37.69,-71.47,-92.02,-92.83,ত,25
3.14,-19.97,-26.05,-17.59,-12.03,43.59,-36.12,-69.14,-89.37,-90.16,ত,25
5.8,-20.91,-26.62,-17.46,-10.9,42.26,-38.01,-72.08,-92.68,-93.62,ত,25
7.59,-21.82,-26.37,-16.27,-9.36,40.29,-39.58,-74.73,-94.02,-94.62,ত,25
2.78,-22.67,-29.25,-20.22,-13.44,39.47,-36.0,-70.71,-92.19,-93.45,ত,25
3.88,-21.1,-27.27,-18.6,-12.32,41.84,-36.6,-70.37,-91.55,-92.6,ত,25
1.79,-22.08,-29.11,-20.3,-13.8,40.57,-34.84,-69.23,-91.24,-92.69,ত,25
3.0,-21.53,-27.93,-19.28,-13.32,40.99,-36.04,-70.04,-91.21,-92.83,ত,25
4.5,-20.5,-26.15,-17.34,-11.36,42.32,-37.15,-71.06,-91.46,-92.4,ত,25
3.91,-20.82,-26.77,-17.62,-11.36,41.95,-36.66,-70.66,-91.42,-92.26,ত,25
5.34,-21.64,-27.12,-17.68,-11.15,40.73,-37.97,-72.55,-92.73,-93.66,ত,25
1.38,-21.69,-28.79,-20.34,-14.14,41.33,-35.06,-69.1,-90.68,-92.42,ত,25
2.56,-20.61,-27.19,-18.88,-12.81,42.36,-35.6,-69.36,-90.55,-92.32,ত,25
6.77,-21.48,-27.53,-17.7,-10.37,41.31,-38.6,-73.46,-94.26,-94.97,ত,25
6.72,-20.21,-24.89,-15.46,-8.93,42.43,-38.89,-72.87,-92.56,-92.85,ত,25
6.65,-22.23,-27.29,-17.36,-10.34,40.14,-38.91,-73.85,-93.96,-94.6,ত,25
6.26,-21.29,-26.49,-16.87,-10.0,41.4,-38.33,-72.98,-93.63,-94.57,ত,25
5.57,-20.04,-25.4,-16.42,-10.02,43.0,-37.49,-71.18,-91.63,-92.08,ত,25
10.55,-19.1,-21.35,-10.87,-4.1,42.92,-42.23,-75.89,-93.08,-91.27,ত,25
9.5,-19.74,-23.75,-13.95,-7.39,43.33,-40.27,-74.11,-92.89,-92.44,ত,25
12.02,-17.93,-20.73,-11.22,-4.98,45.14,-42.49,-75.82,-93.78,-93.63,ত,25
6.98,-21.52,-26.46,-16.3,-8.95,40.43,-39.05,-74.37,-95.0,-96.18,ত,25
9.19,-23.04,-27.18,-16.25,-8.77,37.76,-40.98,-77.24,-97.31,-97.82,ত,25
-3.85,-15.47,-22.4,-16.0,-15.53,50.92,-33.23,-59.45,-77.46,-81.72,ত,25
0.37,-12.36,-16.72,-10.14,-10.28,53.77,-35.93,-60.47,-76.46,-79.05,ত,25
1.49,-13.21,-17.59,-10.75,-10.67,52.03,-37.43,-62.87,-78.96,-81.78,ত,25
0.04,-14.85,-20.31,-13.91,-13.34,50.82,-36.51,-62.09,-79.03,-82.64,ত,25
-2.56,-14.21,-19.75,-13.84,-13.92,51.81,-35.16,-60.08,-76.84,-81.21,ত,25
-5.72,-14.66,-21.75,-16.73,-17.27,51.69,-32.56,-57.03,-74.69,-79.73,ত,25
-6.25,-17.93,-25.33,-19.43,-18.66,46.42,-33.13,-59.89,-78.58,-84.55,ত,25
-3.88,-16.56,-22.85,-16.53,-15.97,48.53,-34.75,-61.26,-78.59,-83.14,ত,25
-7.1,-17.09,-25.2,-19.92,-19.77,51.29,-31.01,-57.76,-77.2,-82.98,ত,25
-3.07,-17.45,-24.59,-18.66,-17.91,50.24,-31.61,-58.96,-78.02,-83.19,ত,25
-2.18,-16.72,-23.12,-17.18,-16.65,50.05,-32.9,-60.06,-78.57,-83.32,ত,25
-2.02,-17.28,-23.94,-17.91,-16.89,49.57,-33.04,-60.49,-79.56,-84.37,ত,25
0.57,-16.43,-22.12,-15.64,-14.59,49.87,-34.65,-62.39,-80.33,-84.12,ত,25
0.58,-16.84,-22.53,-15.72,-14.49,49.06,-34.82,-62.49,-80.78,-85.09,ত,25
0.22,-16.48,-22.16,-15.63,-14.52,49.8,-34.59,-62.05,-80.25,-84.54,ত,25
2.1,-16.19,-21.28,-14.57,-13.11,49.92,-35.99,-63.73,-81.39,-85.05,ত,25
-0.06,-17.72,-23.53,-16.86,-15.32,48.45,-34.61,-62.79,-81.5,-86.03,ত,25
-0.87,-17.78,-23.91,-17.1,-15.59,48.29,-34.12,-62.32,-81.08,-85.76,ত,25
0.89,-17.08,-22.65,-16.23,-14.85,49.7,-34.41,-61.87,-80.67,-84.91,ত,25
5.05,-17.28,-21.5,-13.86,-11.89,48.53,-37.29,-65.85,-83.61,-86.57,ত,25
3.97,-18.08,-23.3,-15.69,-13.28,49.31,-35.15,-64.94,-84.15,-87.58,ত,25
3.35,-18.16,-23.74,-16.24,-13.8,48.89,-34.5,-64.15,-83.7,-87.28,ত,25
5.62,-18.35,-23.05,-15.05,-12.5,47.78,-36.57,-66.37,-85.18,-88.56,ত,25
6.01,-18.79,-23.21,-14.8,-12.13,46.83,-37.39,-67.46,-85.72,-88.75,ত,25
8.03,-17.55,-21.07,-12.38,-9.4,47.52,-39.21,-69.02,-86.86,-89.18,ত,25
2.17,-24.87,-28.86,-18.36,-10.97,36.03,-41.35,-75.25,-94.08,-96.0,ত,25
3.93,-24.01,-27.71,-17.53,-10.2,37.84,-41.19,-74.37,-93.46,-95.0,ত,25
4.28,-23.69,-27.28,-17.08,-9.93,37.86,-41.75,-74.55,-93.41,-94.94,ত,25
-9.39,-22.25,-30.71,-24.71,-20.47,43.13,-30.49,-60.28,-82.24,-87.53,ত,25
0.04,-24.63,-29.85,-20.78,-14.41,38.46,-38.49,-70.82,-90.34,-92.95,ত,25
0.22,-23.33,-28.16,-19.25,-13.15,39.12,-38.11,-70.23,-89.87,-92.51,ত,25
-1.45,-23.88,-29.86,-21.51,-15.28,40.21,-36.51,-68.49,-88.73,-92.18,ত,25
0.16,-23.37,-28.24,-19.51,-13.36,39.34,-37.74,-69.6,-89.33,-91.84,ত,25
1.44,-23.56,-28.29,-19.27,-13.16,39.29,-38.66,-70.78,-90.26,-92.74,ত,25
2.68,-22.83,-27.32,-18.54,-12.44,40.13,-39.36,-71.18,-90.06,-92.19,ত,25
3.86,-23.98,-28.34,-18.83,-11.93,38.98,-39.72,-72.67,-91.8,-94.04,ত,25
4.71,-24.31,-28.41,-18.43,-11.3,38.17,-40.85,-73.87,-92.63,-94.34,ত,25
3.04,-22.93,-27.35,-18.25,-11.94,40.05,-39.21,-71.34,-90.7,-93.05,ত,25
3.03,-24.3,-28.72,-18.98,-12.04,38.06,-39.61,-72.65,-91.97,-93.97,ত,25
3.23,-24.23,-28.8,-19.08,-12.08,38.2,-39.88,-72.86,-92.18,-94.49,ত,25
2.95,-22.6,-27.04,-17.98,-11.93,40.61,-39.19,-71.08,-90.19,-92.44,ত,25
3.58,-21.42,-25.34,-16.61,-10.62,42.3,-39.6,-70.27,-88.76,-90.17,ত,25
3.34,-22.57,-26.8,-17.7,-11.23,40.45,-39.36,-71.54,-90.51,-92.53,ত,25
3.59,-24.24,-28.58,-18.78,-11.77,38.56,-39.85,-72.83,-92.08,-94.08,ত,25
2.47,-23.1,-27.61,-18.72,-12.31,39.98,-38.66,-70.41,-89.53,-91.67,ত,25
-0.33,-21.78,-26.74,-18.52,-13.27,42.55,-36.41,-67.13,-86.18,-88.25,ত,25
3.82,-20.89,-24.62,-16.02,-10.37,43.07,-39.8,-70.3,-88.35,-89.89,ত,25
4.93,-20.81,-24.27,-15.55,-9.72,43.11,-40.14,-71.13,-89.22,-90.45,ত,25
4.31,-21.07,-24.83,-15.93,-9.82,42.57,-39.82,-70.87,-89.17,-90.76,ত,25
5.41,-20.33,-23.7,-14.87,-9.08,43.79,-40.52,-71.38,-89.17,-90.2,ত,25
5.97,-21.33,-24.63,-15.04,-8.79,41.87,-41.44,-72.94,-90.85,-91.74,ত,25
9.98,-13.07,-14.67,-5.83,-1.62,49.61,-43.28,-70.57,-82.28,-86.09,ত,25
9.03,-15.25,-17.27,-8.7,-3.71,46.22,-43.34,-71.34,-83.44,-88.32,ত,25
7.06,-17.21,-19.59,-10.71,-5.94,44.61,-42.44,-71.24,-83.38,-88.72,ত,25
8.47,-15.85,-17.75,-9.21,-4.32,46.03,-43.33,-71.05,-82.91,-87.83,ত,25
7.07,-16.61,-19.17,-10.76,-5.86,45.06,-42.32,-70.32,-82.3,-88.13,ত,25
7.78,-17.7,-20.14,-11.06,-5.72,43.8,-43.2,-71.76,-83.65,-88.94,ত,25
8.21,-17.45,-19.79,-10.62,-5.13,44.01,-43.31,-72.03,-84.16,-89.58,ত,25
7.67,-16.9,-19.31,-10.61,-5.21,44.7,-43.05,-71.14,-83.51,-89.11,ত,25
8.69,-16.05,-18.13,-9.26,-4.08,45.66,-43.47,-71.74,-83.8,-88.89,ত,25
7.87,-18.26,-20.54,-11.06,-5.18,43.1,-43.35,-72.73,-85.23,-90.61,ত,25
6.47,-17.95,-20.66,-11.71,-5.85,43.3,-41.88,-71.19,-84.47,-90.14,ত,25
-8.45,-16.93,-26.92,-23.68,-23.0,42.24,-29.8,-57.9,-78.49,-82.66,ত,25
-8.25,-16.66,-26.97,-23.28,-22.37,42.88,-30.08,-58.59,-79.57,-83.97,ত,25
-7.8,-16.88,-27.47,-23.37,-22.05,42.82,-30.69,-59.51,-80.75,-85.89,ত,25
-6.44,-20.81,-30.98,-25.24,-22.46,39.67,-32.93,-61.57,-81.01,-88.4,ত,25
-6.16,-22.61,-33.05,-27.27,-24.34,39.51,-34.59,-62.62,-77.58,-88.69,ত,25
-10.27,-22.22,-34.42,-29.5,-27.14,40.68,-31.32,-58.94,-75.72,-87.15,ত,25
-8.04,-20.34,-31.17,-26.16,-24.19,42.22,-32.58,-59.71,-75.25,-85.48,ত,25
-8.7,-20.35,-31.22,-26.4,-24.23,42.02,-32.14,-59.78,-75.69,-85.75,ত,25
-8.16,-21.28,-32.04,-26.64,-24.48,40.73,-32.67,-60.91,-76.66,-86.23,ত,25
-7.57,-21.17,-30.99,-25.61,-23.89,39.66,-33.57,-61.38,-75.92,-84.84,ত,25
-7.65,-21.63,-32.37,-26.53,-24.12,40.8,-33.18,-61.97,-77.87,-87.28,ত,25
-7.03,-21.87,-32.4,-26.75,-24.1,40.15,-33.6,-62.57,-78.27,-87.86,ত,25
-7.48,-21.66,-32.05,-26.28,-23.59,39.99,-33.31,-62.2,-78.09,-87.88,ত,25
3.13,-22.1,-27.38,-18.72,-15.39,39.28,-42.76,-72.41,-83.99,-90.53,ত,25
-5.81,-22.41,-32.36,-25.76,-23.09,38.02,-34.46,-64.7,-80.36,-89.34,ত,25
-6.38,-24.76,-35.38,-27.59,-23.23,35.61,-33.85,-66.37,-83.97,-93.58,ত,25
0.33,-18.7,-25.75,-18.45,-15.43,43.48,-39.09,-67.42,-80.38,-87.43,ত,25
3.84,-10.99,-17.54,-12.53,-10.62,55.15,-42.01,-67.24,-80.11,-87.68,ত,25
-0.72,-18.09,-25.43,-18.55,-16.05,44.38,-37.86,-65.84,-79.47,-85.43,ত,25
-0.54,-19.2,-26.68,-19.26,-16.27,41.87,-37.8,-67.0,-81.57,-87.42,ত,25
-1.59,-18.43,-26.41,-20.52,-17.62,43.66,-36.93,-64.67,-79.17,-85.77,ত,25
-0.4,-16.98,-24.62,-20.38,-18.66,44.86,-37.41,-64.36,-77.3,-84.97,ত,25
1.59,-15.12,-23.3,-18.65,-16.65,46.94,-38.2,-64.34,-77.15,-84.36,ত,25
-1.45,-15.74,-25.11,-20.73,-18.26,47.47,-36.04,-62.58,-76.95,-84.23,ত,25
-2.32,-18.06,-27.39,-22.61,-20.07,43.23,-36.02,-63.36,-78.42,-85.77,ত,25
3.21,-18.96,-26.34,-19.3,-15.43,41.36,-40.0,-69.51,-83.61,-90.0,ত,25
1.27,-17.94,-21.6,-14.47,-14.0,48.57,-37.81,-65.02,-81.58,-83.45,ত,25
1.71,-23.0,-27.09,-19.6,-17.41,44.47,-38.28,-65.93,-83.4,-87.95,ত,25
-0.94,-21.07,-25.8,-18.87,-17.59,46.61,-35.47,-62.55,-80.87,-84.86,ত,25
-1.36,-21.54,-27.27,-20.94,-19.15,46.73,-34.87,-62.7,-81.86,-87.26,ত,25
-1.0,-23.47,-28.71,-21.05,-18.65,43.56,-35.38,-64.46,-83.75,-88.73,ত,25
-2.23,-23.34,-28.72,-21.74,-19.79,44.18,-34.33,-62.79,-82.23,-87.07,ত,25
-1.67,-22.95,-28.12,-21.04,-19.13,44.4,-34.89,-63.17,-82.53,-87.53,ত,25
-1.9,-23.53,-28.21,-20.68,-18.68,42.65,-35.14,-64.0,-82.74,-87.22,ত,25
-0.69,-23.76,-28.79,-21.09,-18.47,42.64,-35.95,-65.15,-84.48,-89.56,ত,25
-1.43,-23.38,-28.57,-20.98,-18.4,43.12,-35.38,-64.44,-83.74,-88.83,ত,25
-1.25,-23.05,-28.15,-20.73,-18.46,43.09,-35.7,-64.41,-83.94,-88.75,ত,25
-1.33,-23.17,-28.25,-20.81,-18.65,43.14,-35.64,-64.33,-83.37,-88.43,ত,25
-0.62,-22.9,-27.74,-20.33,-17.69,43.08,-36.29,-64.95,-84.03,-89.15,ত,25
-0.91,-23.33,-28.37,-20.64,-18.14,42.93,-36.01,-65.11,-84.24,-89.28,ত,25
-0.32,-23.95,-28.89,-21.26,-18.41,41.83,-36.8,-66.02,-84.78,-89.91,ত,25
-0.97,-24.05,-29.48,-21.7,-18.71,42.18,-36.21,-65.56,-84.85,-90.16,ত,25
-0.41,-23.65,-28.49,-20.72,-18.14,42.05,-36.53,-65.73,-84.59,-89.94,ত,25
-0.69,-23.54,-28.64,-20.89,-18.15,42.51,-36.45,-65.57,-84.66,-89.81,ত,25
-1.6,-22.8,-28.01,-20.93,-18.53,43.06,-35.88,-64.57,-83.61,-89.19,ত,25
-2.37,-23.55,-29.38,-22.18,-19.84,42.44,-35.13,-63.85,-83.21,-89.05,ত,25
-6.17,-25.36,-32.45,-25.25,-22.27,39.85,-32.75,-62.28,-83.62,-90.34,ত,25
-4.0,-24.38,-30.56,-24.1,-22.04,41.47,-34.13,-62.72,-82.65,-88.84,ত,25
-8.36,-23.22,-30.43,-25.08,-23.64,42.95,-31.01,-58.86,-79.89,-87.0,ত,25
-3.45,-21.25,-26.9,-20.79,-19.2,45.58,-34.02,-61.88,-81.17,-86.4,ত,25
-2.19,-25.57,-31.33,-23.8,-20.91,39.43,-35.74,-65.32,-85.28,-91.46,ত,25
-3.11,-26.08,-32.19,-25.08,-21.94,41.11,-32.89,-62.66,-83.96,-90.77,ত,25
-2.32,-25.13,-30.94,-23.47,-20.66,41.25,-34.12,-63.75,-84.24,-90.39,ত,25
-4.28,-22.36,-28.47,-22.58,-21.35,45.29,-32.53,-59.96,-79.94,-86.17,ত,25
-3.97,-25.69,-32.11,-25.05,-22.52,40.9,-33.02,-62.41,-83.51,-89.89,ত,25
-6.53,-24.91,-32.12,-26.22,-24.06,42.13,-31.22,-59.68,-80.83,-88.58,ত,25
-5.33,-25.09,-31.78,-25.47,-23.19,41.39,-32.16,-61.04,-82.15,-89.25,ত,25
-5.14,-26.24,-33.08,-26.31,-23.78,40.05,-32.69,-62.01,-82.79,-89.85,ত,25
-5.78,-25.58,-32.59,-26.46,-24.19,41.25,-32.2,-60.98,-82.07,-89.35,ত,25
-1.77,-28.65,-35.32,-27.75,-24.17,40.01,-39.36,-68.69,-83.09,-93.26,ত,25
-6.48,-28.21,-34.51,-27.11,-23.85,39.24,-37.66,-67.01,-82.85,-92.18,ত,25
-7.37,-27.3,-33.79,-26.63,-23.72,40.21,-36.71,-65.71,-81.78,-91.38,ত,25
-6.7,-27.06,-33.64,-26.42,-23.24,40.24,-37.36,-66.52,-82.71,-92.16,ত,25
-6.58,-27.57,-33.98,-26.78,-23.52,39.34,-37.49,-66.64,-83.11,-92.57,ত,25
-6.97,-27.21,-33.64,-26.51,-23.6,40.03,-37.25,-66.22,-82.48,-91.91,ত,25
-6.62,-27.45,-33.97,-26.72,-23.7,39.89,-37.57,-66.69,-82.8,-92.21,ত,25
-7.22,-27.55,-34.37,-27.12,-23.91,39.83,-37.02,-66.25,-82.33,-91.94,ত,25
-6.7,-27.55,-34.0,-26.62,-23.34,39.78,-37.57,-67.03,-83.29,-92.49,ত,25
-6.4,-27.26,-33.73,-26.28,-23.19,39.98,-37.77,-67.0,-83.04,-92.16,ত,25
-7.1,-27.73,-34.2,-26.89,-23.59,39.18,-37.32,-66.78,-83.18,-92.67,ত,25
-5.58,-27.45,-33.37,-25.9,-22.54,38.83,-38.41,-67.81,-83.9,-92.85,ত,25
-67.52,-5.27,-14.46,0.35,4.8,151.03,-48.0,-82.31,-96.56,-95.52,থ,26
-70.6,-5.63,-14.68,-2.0,2.47,140.77,-46.01,-82.93,-95.75,-95.35,থ,26
-68.52,-5.69,-15.51,-1.75,3.5,156.99,-45.01,-84.11,-97.83,-97.21,থ,26
-66.16,-7.85,-13.66,0.25,5.47,149.63,-46.2,-85.37,-97.72,-97.16,থ,26
-69.89,-6.61,-14.61,-0.65,4.66,150.59,-44.92,-85.42,-98.49,-97.71,থ,26
-69.76,-5.87,-16.21,-2.19,3.2,155.51,-43.56,-85.0,-98.6,-98.05,থ,26
-69.4,-6.62,-16.06,-1.4,4.29,154.26,-42.99,-86.24,-99.35,-98.67,থ,26
-71.38,-6.85,-16.65,-2.07,3.53,153.14,-42.15,-86.67,-99.95,-99.37,থ,26
-71.7,-7.36,-16.01,-1.72,3.5,148.22,-42.76,-86.97,-100.03,-99.06,থ,26
-70.28,-6.55,-14.99,0.2,5.25,147.06,-43.18,-87.67,-100.47,-98.71,থ,26
-69.02,-3.46,-17.89,-3.32,1.76,157.53,-42.18,-84.3,-97.83,-96.89,থ,26
-67.08,-3.98,-13.93,0.28,5.23,153.33,-45.2,-82.68,-96.02,-94.79,থ,26
-66.97,-6.26,-14.05,0.91,6.12,147.21,-44.73,-85.79,-98.22,-95.62,থ,26
-66.04,-6.61,-14.72,0.62,5.83,145.76,-43.57,-85.99,-98.33,-97.14,থ,26
-68.58,-7.32,-12.21,2.83,7.77,142.61,-44.72,-86.51,-97.94,-96.6,থ,26
-66.7,-6.82,-11.48,3.06,7.99,142.37,-46.23,-85.12,-96.25,-94.69,থ,26
-69.95,-5.43,-14.63,0.35,5.54,149.82,-43.81,-86.25,-99.03,-97.88,থ,26
-69.11,-3.22,-15.35,-0.47,4.8,157.22,-43.61,-83.6,-97.48,-96.59,থ,26
-70.32,-8.42,-12.69,2.75,8.15,138.63,-44.3,-89.34,-101.21,-99.84,থ,26
-71.14,-8.43,-11.78,3.72,9.3,138.23,-44.73,-89.47,-101.47,-99.75,থ,26
-71.16,-6.94,-14.5,1.35,6.95,142.98,-43.46,-88.97,-101.9,-100.49,থ,26
-68.85,-7.94,-12.18,3.22,8.55,138.82,-44.92,-88.14,-100.46,-98.92,থ,26
-70.37,-8.45,-12.19,3.37,8.79,135.88,-44.03,-88.73,-100.75,-99.13,থ,26
-70.85,-9.48,-11.68,4.08,9.73,131.07,-43.1,-90.14,-102.26,-100.22,থ,26
-71.73,-7.46,-13.73,2.25,7.85,138.98,-43.08,-88.95,-102.02,-99.95,থ,26
-71.64,-10.84,-11.97,4.33,10.52,120.26,-42.24,-92.68,-104.96,-102.86,থ,26
-72.19,-10.41,-13.42,3.08,9.44,121.12,-41.59,-92.75,-105.34,-103.32,থ,26
-71.6,-7.25,-14.32,2.48,9.22,139.53,-41.18,-89.32,-103.98,-102.58,থ,26
-71.45,-11.36,-11.83,4.51,10.69,118.08,-42.67,-92.75,-104.69,-102.41,থ,26
-72.86,-9.88,-13.25,2.96,9.13,123.28,-42.1,-91.51,-104.47,-102.78,থ,26
-71.99,-9.19,-13.94,2.17,8.64,127.79,-42.19,-90.78,-104.04,-102.17,থ,26
-72.58,-10.49,-12.85,3.12,9.54,120.1,-42.17,-92.26,-104.96,-103.11,থ,26
-73.1,-10.62,-13.99,2.65,9.45,119.31,-41.47,-93.53,-106.66,-105.12,থ,26
