p1,p2,p3,p4,p5,r1,r2,r3,r4,r5,label
-43.33,-19.73,-30.15,-38.35,-38.55,-92.67,14.71,5.04,8.04,12.3,এ
-43.3,-19.07,-29.1,-37.14,-37.81,-95.78,16.42,7.36,10.99,15.54,এ
-43.61,-19.79,-30.26,-37.97,-37.96,-92.38,14.74,4.9,7.95,12.55,এ
-43.9,-19.44,-29.71,-37.17,-36.96,-94.71,15.11,5.58,8.62,12.15,এ
-43.33,-20.47,-31.45,-39.43,-39.32,-90.98,14.22,4.29,6.12,10.72,এ
-41.71,-21.29,-32.24,-40.19,-40.12,-91.34,15.19,6.03,8.11,12.64,এ
-43.38,-19.39,-29.61,-37.7,-37.65,-94.72,16.12,7.03,9.41,13.98,এ
-42.2,-20.73,-31.41,-39.8,-39.92,-93.1,15.84,6.65,8.85,13.48,এ
-43.05,-19.88,-30.57,-38.83,-39.07,-94.53,16.03,6.76,9.21,13.56,এ
-42.28,-20.47,-31.26,-39.5,-39.52,-93.76,15.9,6.72,9.14,13.34,এ
-42.35,-20.33,-30.92,-39.28,-39.84,-94.01,16.34,7.27,10.23,14.69,এ
-42.14,-20.92,-31.73,-39.72,-40.08,-93.14,16.13,6.94,9.9,14.37,এ
-42.41,-20.38,-30.9,-38.9,-39.11,-93.86,16.36,7.43,10.17,14.74,এ
-42.98,-15.04,-25.94,-31.41,-25.57,-93.24,17.77,6.95,13.18,15.01,এ
-43.77,-14.63,-25.81,-31.34,-25.83,-93.83,17.44,6.5,12.52,14.3,এ
-42.41,-16.47,-27.73,-33.28,-27.52,-91.61,17.42,6.23,12.36,14.16,এ
-39.84,-15.25,-26.62,-32.56,-27.4,-90.47,15.55,4.05,9.61,11.77,এ
-44.85,-13.52,-24.13,-28.54,-22.22,-95.03,15.74,4.97,11.8,13.97,এ
-43.04,-15.43,-26.63,-31.7,-25.53,-92.65,15.27,4.31,10.64,12.66,এ
-44.65,-13.87,-25.0,-29.92,-24.39,-95.25,16.05,5.51,12.18,14.32,এ
-45.64,-13.03,-23.43,-28.1,-22.4,-95.25,16.03,5.33,12.11,14.52,এ
-43.7,-14.05,-24.96,-30.85,-25.5,-97.59,17.75,7.56,13.99,15.72,এ
-44.38,-14.37,-25.41,-30.66,-25.28,-96.04,17.03,6.48,12.64,14.81,এ
-45.11,-13.62,-24.74,-30.73,-25.56,-97.13,17.28,6.82,12.83,14.86,এ
-44.99,-14.05,-25.15,-30.98,-25.9,-96.26,17.79,7.16,12.67,15.3,এ
-44.82,-14.37,-26.17,-32.35,-27.24,-96.81,17.41,6.77,12.03,14.59,এ
-46.42,-12.37,-23.62,-29.73,-24.75,-99.79,18.1,7.53,12.82,15.07,এ
-47.51,-12.73,-24.25,-29.94,-24.69,-97.29,16.71,5.71,10.82,12.93,এ
-45.79,-14.06,-25.99,-31.98,-26.75,-96.96,17.72,7.3,12.01,14.25,এ
-45.81,-14.21,-26.53,-32.87,-27.77,-95.89,16.95,6.63,11.04,13.11,এ
-44.73,-15.34,-28.1,-34.01,-28.82,-95.07,17.53,6.94,11.2,13.29,এ
-46.26,-14.18,-26.75,-32.72,-27.45,-96.29,17.8,7.02,11.28,13.46,এ
-46.83,-13.74,-25.82,-31.81,-26.48,-96.3,17.72,6.68,10.38,12.49,এ
-46.57,-14.09,-26.3,-33.19,-27.93,-95.78,17.22,6.99,9.89,11.93,এ
