p1,p2,p3,p4,p5,r1,r2,r3,r4,r5,label
-48.72,-3.89,-12.85,-21.69,-0.94,-59.11,20.5,7.97,3.42,4.52,ও
-47.37,-4.7,-13.55,-22.42,-1.41,-62.98,22.61,10.73,6.17,7.13,ও
-46.64,-5.27,-14.7,-23.76,-2.89,-61.77,21.94,9.96,5.59,6.46,ও
-45.48,-5.87,-15.4,-24.51,-3.7,-61.62,22.11,10.03,5.62,6.72,ও
-45.95,-5.47,-15.0,-24.1,-3.28,-62.94,22.54,10.6,6.1,6.88,ও
-46.06,-5.63,-15.22,-24.36,-3.33,-62.4,22.27,10.28,5.83,6.68,ও
-45.05,-6.22,-15.97,-25.24,-4.38,-62.82,22.57,10.71,6.34,7.25,ও
-44.85,-6.34,-15.92,-24.84,-3.76,-61.32,22.05,10.02,5.4,6.59,ও
-45.59,-5.84,-15.38,-24.68,-3.81,-62.63,22.49,10.67,6.43,7.12,ও
-45.66,-5.66,-15.27,-24.54,-3.7,-61.96,22.07,9.99,5.47,6.41,ও
-44.57,-6.69,-16.39,-25.48,-4.43,-61.72,22.29,10.18,5.61,6.7,ও
-45.23,-6.05,-15.84,-25.17,-4.39,-63.08,22.71,10.99,6.42,7.36,ও
-44.51,-6.56,-16.19,-25.44,-4.64,-61.66,22.16,10.07,5.59,6.71,ও
-45.31,-6.09,-15.61,-24.87,-4.27,-62.11,22.18,10.11,5.85,6.79,ও
-45.07,-6.29,-15.82,-25.09,-4.11,-62.52,22.56,10.68,6.32,7.25,ও
-44.38,-6.6,-16.3,-24.96,-3.51,-61.74,22.18,9.96,6.19,7.16,ও
-44.41,-6.68,-16.37,-25.81,-4.92,-63.42,22.92,11.1,6.91,7.84,ও
-55.76,0.7,-7.46,-15.06,5.6,-57.41,20.18,7.85,3.93,4.96,ও
-64.86,6.58,0.09,-5.9,15.74,-46.73,16.0,2.43,-2.04,-0.8,ও
-62.21,4.95,-1.98,-8.49,11.88,-46.63,16.27,2.62,-2.07,-0.66,ও
-63.07,5.19,-1.53,-8.34,11.86,-49.9,17.64,4.56,0.22,1.96,ও
-63.03,5.24,-1.42,-7.32,13.55,-48.15,17.28,4.12,0.19,1.45,ও
-60.9,3.88,-3.04,-9.32,11.67,-49.11,17.8,4.8,0.58,1.94,ও
-59.43,2.98,-4.41,-10.57,10.11,-49.78,17.95,4.98,0.8,2.12,ও
-58.98,2.85,-4.45,-10.71,10.1,-48.88,17.69,4.77,0.22,1.58,ও
-58.57,2.51,-4.73,-11.13,9.74,-47.79,17.33,4.39,-0.08,1.42,ও
-58.95,2.65,-4.72,-11.4,9.39,-50.0,18.13,5.25,0.99,2.39,ও
-58.13,2.2,-5.32,-11.74,9.19,-49.61,18.02,5.02,0.62,2.09,ও
-58.16,2.18,-5.46,-12.01,8.67,-50.39,18.21,5.4,0.97,2.51,ও
-58.1,2.24,-5.31,-11.97,8.96,-49.61,17.96,5.1,0.64,2.11,ও
-57.65,1.9,-5.78,-12.43,8.52,-49.44,17.87,5.0,0.53,1.98,ও
-58.31,2.18,-5.54,-12.34,8.26,-51.39,18.43,5.6,1.33,2.77,ও
-57.69,1.83,-5.85,-12.4,8.69,-50.57,18.1,5.32,0.78,2.3,ও
-57.39,1.7,-5.9,-12.61,8.35,-50.11,18.13,5.29,0.83,2.37,ও
-57.26,1.59,-6.2,-13.04,7.99,-51.11,18.45,5.59,1.22,2.72,ও
-56.81,1.31,-6.51,-13.46,7.37,-50.37,18.11,5.15,0.7,2.15,ও
-56.41,1.13,-6.59,-13.43,7.47,-50.36,18.37,5.53,1.0,2.53,ও
-56.97,1.55,-6.3,-13.05,7.94,-49.89,18.17,5.13,0.56,2.34,ও
-56.4,1.03,-6.95,-13.85,6.9,-50.52,18.07,5.15,0.59,2.13,ও
-56.48,1.11,-6.7,-13.67,7.19,-50.76,18.32,5.45,1.01,2.61,ও
-55.72,0.72,-7.35,-14.28,6.68,-49.8,18.01,4.99,0.35,2.05,ও
-56.17,0.89,-7.09,-14.08,6.82,-50.35,18.17,5.22,0.75,2.38,ও
-56.16,0.89,-6.92,-13.99,6.92,-50.57,18.37,5.4,0.92,2.35,ও
-56.37,1.29,-6.63,-13.63,7.26,-49.79,17.97,5.0,0.43,1.88,ও
-56.08,0.89,-7.04,-14.25,6.66,-51.21,18.66,5.84,1.36,2.86,ও
-56.39,1.09,-6.89,-13.75,7.03,-50.65,18.05,5.2,0.6,2.13,ও
-55.43,0.47,-7.53,-14.81,6.04,-50.43,18.24,5.31,0.87,2.49,ও
-55.76,0.63,-7.4,-14.62,6.31,-50.77,18.22,5.36,0.74,2.39,ও
-55.4,0.39,-7.7,-14.61,6.41,-50.68,18.49,5.48,0.97,2.45,ও
-54.94,0.09,-8.0,-15.1,5.67,-50.2,18.08,5.11,0.48,1.97,ও
-54.76,-0.06,-8.23,-15.47,5.43,-50.48,18.18,5.38,0.69,2.28,ও
-55.04,0.16,-7.96,-15.05,5.89,-50.32,18.19,5.25,0.81,2.42,ও
-55.03,0.17,-7.98,-15.28,5.63,-50.68,18.14,5.14,0.66,2.09,ও
-54.47,-0.25,-8.51,-15.71,5.34,-50.8,18.42,5.29,0.69,2.3,ও
-54.67,-0.06,-8.25,-15.3,5.48,-50.61,18.21,5.38,0.67,2.41,ও
-56.01,0.73,-7.67,-14.95,5.92,-53.51,19.18,6.49,2.17,3.48,ও
-58.9,2.48,-5.12,-11.86,9.1,-54.05,19.6,7.12,2.83,4.28,ও
-57.86,2.05,-5.46,-12.29,8.64,-50.46,18.29,5.56,1.11,2.63,ও
-57.19,1.64,-6.2,-13.18,7.8,-50.6,18.3,5.47,1.07,2.64,ও
-57.15,1.56,-6.2,-12.98,7.83,-53.16,19.51,6.86,2.79,4.39,ও
